I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
0.00E+00	-9.34E-01	0.00E+00			4.58E+01	-9.26E-01	-4.24E-02	9.153193	0.92645144	8.4799886
0.00E+00	-9.34E-01	0.00E+00			9.67E+01	-8.60E-01	-8.32E-02	19.3368592	0.86035192	16.6365042
0.00E+00	-9.34E-01	0.00E+00			1.49E+02	-8.18E-01	-1.22E-01	29.826038	0.81779397	24.391554
0.00E+00	-9.33E-01	0.00E+00			2.00E+02	-7.99E-01	-1.59E-01	39.907864	0.79898751	31.885886
0.00E+00	-9.33E-01	0.00E+00			2.50E+02	-7.83E-01	-1.96E-01	50.091528	0.78302586	39.222962
0.00E+00	-9.34E-01	0.00E+00			3.01E+02	-7.70E-01	-2.32E-01	60.173364	0.77021456	46.346402
4.37E+01	-9.34E-01	-4.09E-02			3.54E+02	-7.59E-01	-2.69E-01	70.764374	0.75919795	53.72417
9.67E+01	-8.34E-01	-8.07E-02			4.05E+02	-7.49E-01	-3.03E-01	80.948034	0.74877328	60.611724
1.50E+02	-7.94E-01	-1.19E-01			4.55E+02	-7.39E-01	-3.36E-01	91.029864	0.73878771	67.251748
2.02E+02	-7.76E-01	-1.56E-01			5.06E+02	-7.30E-01	-3.69E-01	101.1117	0.73025316	73.837138
2.58E+02	-7.62E-01	-1.97E-01			5.56E+02	-7.22E-01	-4.02E-01	111.295362	0.72168046	80.31969
3.09E+02	-7.49E-01	-2.31E-01			6.07E+02	-7.14E-01	-4.34E-01	121.377198	0.71444428	86.717242
3.61E+02	-7.39E-01	-2.67E-01			6.57E+02	-7.07E-01	-4.65E-01	131.45902	0.7069217	92.931234
4.11E+02	-7.30E-01	-3.00E-01			7.08E+02	-7.00E-01	-4.95E-01	141.540844	0.69995284	99.071914
4.64E+02	-7.21E-01	-3.34E-01			7.58E+02	-6.93E-01	-5.26E-01	151.622668	0.69346124	105.144442
5.14E+02	-7.13E-01	-3.67E-01			8.09E+02	-6.87E-01	-5.56E-01	161.806336	0.68691236	111.146772
5.66E+02	-7.06E-01	-3.99E-01			8.60E+02	-6.81E-01	-5.86E-01	172.091846	0.68129909	117.24602
6.16E+02	-6.99E-01	-4.31E-01			9.11E+02	-6.75E-01	-6.16E-01	182.275512	0.67539936	123.108768
6.67E+02	-6.92E-01	-4.62E-01			9.62E+02	-6.70E-01	-6.45E-01	192.357336	0.67014885	128.90805
7.18E+02	-6.86E-01	-4.93E-01			1.01E+03	-6.65E-01	-6.73E-01	202.43916	0.66482192	134.585988
7.69E+02	-6.81E-01	-5.23E-01			1.06E+03	-6.60E-01	-7.01E-01	212.521	0.65960962	140.180898
8.19E+02	-6.74E-01	-5.53E-01			1.11E+03	-6.54E-01	-7.28E-01	222.60284	0.65449274	145.691932
8.71E+02	-6.70E-01	-5.83E-01			1.17E+03	-6.50E-01	-7.59E-01	233.39754	0.65029228	151.776612
9.25E+02	-6.64E-01	-6.14E-01			1.22E+03	-6.45E-01	-7.85E-01	243.47934	0.64479351	156.993902
9.77E+02	-6.59E-01	-6.43E-01			1.27E+03	-6.41E-01	-8.13E-01	253.76484	0.64065039	162.574542
1.03E+03	-6.53E-01	-6.71E-01			1.32E+03	-6.36E-01	-8.40E-01	264.15218	0.63595355	167.988514
1.08E+03	-6.48E-01	-6.99E-01			1.37E+03	-6.32E-01	-8.67E-01	274.43768	0.63158125	173.329688
1.13E+03	-6.43E-01	-7.29E-01			1.42E+03	-6.27E-01	-8.93E-01	284.62134	0.6271708	178.506196
1.19E+03	-6.38E-01	-7.57E-01			1.47E+03	-6.24E-01	-9.19E-01	294.70318	0.623505	183.7489
1.24E+03	-6.33E-01	-7.83E-01			1.53E+03	-6.19E-01	-9.45E-01	305.29418	0.61926639	189.058434
1.29E+03	-6.29E-01	-8.10E-01			1.58E+03	-6.15E-01	-9.70E-01	315.37602	0.61539054	194.079422
1.34E+03	-6.25E-01	-8.37E-01			1.63E+03	-6.11E-01	-9.96E-01	326.0689	0.61115193	199.27764
1.39E+03	-6.20E-01	-8.64E-01			1.68E+03	-6.07E-01	-1.02E+00	336.35434	0.60740972	204.30488
1.44E+03	-6.16E-01	-8.89E-01			1.74E+03	-6.03E-01	-1.05E+00	347.5564	0.6033811	209.70896
1.49E+03	-6.13E-01	-9.15E-01			1.79E+03	-6.00E-01	-1.07E+00	357.63824	0.59965801	214.46064
1.54E+03	-6.10E-01	-9.41E-01			1.84E+03	-5.96E-01	-1.10E+00	367.72004	0.59603035	219.17232
1.59E+03	-6.06E-01	-9.66E-01			1.89E+03	-5.92E-01	-1.12E+00	377.80188	0.59232634	223.78202
1.64E+03	-6.03E-01	-9.91E-01			1.94E+03	-5.89E-01	-1.14E+00	387.88372	0.58892781	228.43552
1.70E+03	-6.00E-01	-1.02E+00			1.99E+03	-5.86E-01	-1.17E+00	398.0674	0.58581567	233.19412
1.75E+03	-5.97E-01	-1.04E+00			2.04E+03	-5.82E-01	-1.19E+00	408.25104	0.5820353	237.61652
1.80E+03	-5.93E-01	-1.07E+00			2.09E+03	-5.79E-01	-1.21E+00	418.84208	0.57856041	242.32544
1.85E+03	-5.90E-01	-1.09E+00			2.15E+03	-5.75E-01	-1.23E+00	429.2294	0.5752573	246.91734
1.90E+03	-5.87E-01	-1.12E+00			2.20E+03	-5.72E-01	-1.26E+00	439.7186	0.57185882	251.45696
1.95E+03	-5.84E-01	-1.14E+00			2.25E+03	-5.69E-01	-1.28E+00	449.9023	0.56878483	255.8976
2.00E+03	-5.81E-01	-1.16E+00			2.30E+03	-5.66E-01	-1.30E+00	460.49332	0.56551999	260.41818
2.05E+03	-5.78E-01	-1.19E+00			2.35E+03	-5.62E-01	-1.32E+00	470.88062	0.56200689	264.63816
2.10E+03	-5.75E-01	-1.21E+00			2.41E+03	-5.59E-01	-1.34E+00	481.0643	0.55872291	268.78166
2.16E+03	-5.72E-01	-1.23E+00			2.46E+03	-5.55E-01	-1.36E+00	491.14614	0.55545801	272.81106
2.21E+03	-5.69E-01	-1.25E+00			2.51E+03	-5.52E-01	-1.38E+00	501.32974	0.55242229	276.94572
2.26E+03	-5.66E-01	-1.28E+00			2.56E+03	-5.49E-01	-1.41E+00	511.71708	0.54936743	281.1207
2.31E+03	-5.62E-01	-1.30E+00			2.61E+03	-5.46E-01	-1.43E+00	522.1044	0.54610252	285.12254
2.37E+03	-5.60E-01	-1.32E+00			2.67E+03	-5.43E-01	-1.45E+00	533.10278	0.54314315	289.55112
2.42E+03	-5.56E-01	-1.34E+00			2.72E+03	-5.40E-01	-1.47E+00	543.18462	0.53974462	293.18096
2.47E+03	-5.53E-01	-1.36E+00			2.77E+03	-5.37E-01	-1.49E+00	553.67382	0.53699523	297.3202
2.52E+03	-5.50E-01	-1.39E+00			2.82E+03	-5.34E-01	-1.51E+00	564.36666	0.53353941	301.11184
2.57E+03	-5.47E-01	-1.41E+00			2.87E+03	-5.31E-01	-1.52E+00	574.55034	0.53054184	304.823
2.62E+03	-5.44E-01	-1.43E+00			2.93E+03	-5.28E-01	-1.54E+00	585.34498	0.52754426	308.79538
2.68E+03	-5.41E-01	-1.45E+00			2.98E+03	-5.24E-01	-1.56E+00	596.54702	0.52437484	312.81426
2.73E+03	-5.38E-01	-1.47E+00			3.03E+03	-5.21E-01	-1.58E+00	606.93438	0.52097631	316.19842
2.78E+03	-5.34E-01	-1.49E+00			3.09E+03	-5.18E-01	-1.60E+00	617.11802	0.51797873	319.65402
2.83E+03	-5.31E-01	-1.50E+00			3.14E+03	-5.15E-01	-1.62E+00	627.60722	0.51507664	323.26582
2.89E+03	-5.27E-01	-1.52E+00			3.19E+03	-5.12E-01	-1.63E+00	637.99454	0.51207906	326.70364
2.94E+03	-5.24E-01	-1.54E+00			3.24E+03	-5.09E-01	-1.65E+00	648.17818	0.50904328	329.95074
2.99E+03	-5.20E-01	-1.56E+00			3.29E+03	-5.06E-01	-1.67E+00	658.56552	0.50612205	333.31454
3.05E+03	-5.17E-01	-1.57E+00			3.34E+03	-5.03E-01	-1.68E+00	668.64736	0.50295264	336.29796
3.10E+03	-5.14E-01	-1.59E+00			3.39E+03	-5.00E-01	-1.70E+00	678.7292	0.50048965	339.69694
3.15E+03	-5.11E-01	-1.61E+00			3.45E+03	-4.97E-01	-1.71E+00	689.01474	0.4972057	342.58206
3.20E+03	-5.08E-01	-1.62E+00			3.50E+03	-4.94E-01	-1.73E+00	699.19838	0.49441814	345.69638
3.25E+03	-5.05E-01	-1.64E+00			3.55E+03	-4.91E-01	-1.74E+00	709.38204	0.49142057	348.60492
3.30E+03	-5.02E-01	-1.66E+00			3.60E+03	-4.88E-01	-1.76E+00	719.46386	0.48844206	351.41642
3.36E+03	-4.99E-01	-1.67E+00			3.65E+03	-4.86E-01	-1.77E+00	729.64756	0.48561633	354.32878
3.41E+03	-4.96E-01	-1.69E+00			3.70E+03	-4.83E-01	-1.79E+00	740.23852	0.48275238	357.35192
3.46E+03	-4.93E-01	-1.71E+00			3.75E+03	-4.80E-01	-1.80E+00	750.62588	0.47975481	360.11636
3.51E+03	-4.91E-01	-1.72E+00			3.80E+03	-4.76E-01	-1.81E+00	760.80958	0.47641358	362.46002
3.56E+03	-4.88E-01	-1.74E+00			3.85E+03	-4.74E-01	-1.83E+00	770.99322	0.47377875	365.2802
3.62E+03	-4.86E-01	-1.76E+00			3.91E+03	-4.71E-01	-1.84E+00	781.48238	0.47091481	368.01162
3.67E+03	-4.83E-01	-1.77E+00			3.96E+03	-4.68E-01	-1.85E+00	792.48072	0.46763086	370.58844
3.72E+03	-4.81E-01	-1.79E+00			4.01E+03	-4.65E-01	-1.86E+00	802.56254	0.46457601	372.8513
3.77E+03	-4.78E-01	-1.80E+00			4.06E+03	-4.62E-01	-1.88E+00	812.64438	0.4615784	375.09908
3.82E+03	-4.75E-01	-1.82E+00			4.12E+03	-4.59E-01	-1.89E+00	823.03174	0.45882905	377.63088
3.87E+03	-4.73E-01	-1.83E+00			4.17E+03	-4.56E-01	-1.90E+00	833.92832	0.45611784	380.3696
3.92E+03	-4.70E-01	-1.84E+00			4.22E+03	-4.53E-01	-1.91E+00	844.21386	0.4527384	382.20804
3.97E+03	-4.67E-01	-1.86E+00			4.27E+03	-4.50E-01	-1.92E+00	854.2957	0.44954991	384.04856
4.02E+03	-4.64E-01	-1.87E+00			4.32E+03	-4.47E-01	-1.93E+00	864.683	0.44664779	386.20874
4.07E+03	-4.62E-01	-1.88E+00			4.37E+03	-4.43E-01	-1.94E+00	874.8667	0.4434402	387.95106
4.12E+03	-4.59E-01	-1.89E+00			4.43E+03	-4.40E-01	-1.95E+00	885.0504	0.4404808	389.8477
4.18E+03	-4.56E-01	-1.90E+00			4.48E+03	-4.37E-01	-1.96E+00	895.84502	0.43738776	391.83166
4.23E+03	-4.53E-01	-1.91E+00			4.53E+03	-4.34E-01	-1.97E+00	906.13056	0.43400833	393.2682
4.28E+03	-4.49E-01	-1.92E+00			4.58E+03	-4.31E-01	-1.98E+00	916.51788	0.43110621	395.11654
4.33E+03	-4.46E-01	-1.93E+00			4.63E+03	-4.28E-01	-1.98E+00	926.70156	0.42807043	396.69354
4.38E+03	-4.43E-01	-1.94E+00			4.68E+03	-4.25E-01	-1.99E+00	936.98702	0.42461464	397.8584
4.43E+03	-4.40E-01	-1.95E+00			4.74E+03	-4.21E-01	-2.00E+00	947.06884	0.42142612	399.11954
4.49E+03	-4.36E-01	-1.96E+00			4.79E+03	-4.18E-01	-2.00E+00	957.558	0.41840944	400.65132
4.54E+03	-4.33E-01	-1.96E+00			4.84E+03	-4.15E-01	-2.01E+00	967.63984	0.41495365	401.52568
4.59E+03	-4.29E-01	-1.97E+00			4.89E+03	-4.12E-01	-2.01E+00	978.129	0.41189879	402.89016
4.64E+03	-4.25E-01	-1.97E+00			4.94E+03	-4.09E-01	-2.02E+00	988.3127	0.40880573	404.0279
4.69E+03	-4.22E-01	-1.98E+00			4.99E+03	-4.05E-01	-2.02E+00	998.59824	0.4054645	404.89612
4.75E+03	-4.19E-01	-1.99E+00			5.04E+03	-4.02E-01	-2.03E+00	1008.8837	0.4019514	405.5222
4.80E+03	-4.16E-01	-1.99E+00			5.10E+03	-3.99E-01	-2.03E+00	1019.06738	0.39866742	406.26898
4.85E+03	-4.12E-01	-2.00E+00			5.15E+03	-3.95E-01	-2.04E+00	1030.06572	0.39542165	407.3103
4.90E+03	-4.09E-01	-2.00E+00			5.20E+03	-3.92E-01	-2.04E+00	1040.55488	0.39187038	407.76262
4.95E+03	-4.06E-01	-2.01E+00			5.25E+03	-3.89E-01	-2.04E+00	1050.63672	0.38862458	408.30326
5.00E+03	-4.03E-01	-2.01E+00			5.31E+03	-3.85E-01	-2.04E+00	1061.22774	0.38471055	408.2655
5.05E+03	-3.99E-01	-2.02E+00			5.36E+03	-3.81E-01	-2.04E+00	1071.51318	0.38133112	408.60134
5.11E+03	-3.96E-01	-2.02E+00			5.41E+03	-3.78E-01	-2.04E+00	1082.20606	0.37770346	408.75296
5.16E+03	-3.93E-01	-2.03E+00			5.46E+03	-3.74E-01	-2.04E+00	1092.4916	0.37420946	408.82068
5.21E+03	-3.90E-01	-2.03E+00			5.51E+03	-3.70E-01	-2.04E+00	1102.57344	0.37031454	408.29896
5.26E+03	-3.87E-01	-2.04E+00			5.56E+03	-3.67E-01	-2.04E+00	1112.65518	0.36703056	408.37846
5.32E+03	-3.84E-01	-2.04E+00			5.62E+03	-3.63E-01	-2.04E+00	1123.34814	0.36302105	407.799
5.37E+03	-3.82E-01	-2.05E+00			5.67E+03	-3.59E-01	-2.04E+00	1133.42998	0.35937431	407.3256
5.42E+03	-3.79E-01	-2.05E+00			5.72E+03	-3.56E-01	-2.03E+00	1143.61368	0.35586125	406.96778
5.47E+03	-3.76E-01	-2.06E+00			5.77E+03	-3.52E-01	-2.03E+00	1154.20468	0.35202357	406.30726
5.52E+03	-3.74E-01	-2.06E+00			5.82E+03	-3.48E-01	-2.02E+00	1164.28642	0.34782314	404.96578
5.57E+03	-3.71E-01	-2.06E+00			5.87E+03	-3.44E-01	-2.02E+00	1174.36836	0.34402364	404.01048
5.62E+03	-3.68E-01	-2.07E+00			5.92E+03	-3.40E-01	-2.02E+00	1184.95918	0.34014782	403.0613
5.67E+03	-3.65E-01	-2.07E+00			5.98E+03	-3.36E-01	-2.01E+00	1195.14288	0.33577555	401.29976
5.73E+03	-3.61E-01	-2.07E+00			6.03E+03	-3.32E-01	-2.00E+00	1205.2248	0.33197606	400.10576
5.78E+03	-3.57E-01	-2.07E+00			6.08E+03	-3.28E-01	-1.99E+00	1215.4084	0.32789019	398.5205
5.83E+03	-3.54E-01	-2.06E+00			6.13E+03	-3.24E-01	-1.99E+00	1226.20312	0.32389978	397.16692
5.89E+03	-3.50E-01	-2.06E+00			6.18E+03	-3.19E-01	-1.97E+00	1236.38682	0.31941295	394.91796
5.94E+03	-3.46E-01	-2.05E+00			6.23E+03	-3.15E-01	-1.96E+00	1246.46856	0.31505978	392.71212
5.99E+03	-3.42E-01	-2.05E+00			6.29E+03	-3.10E-01	-1.95E+00	1257.6706	0.31026748	390.21428
6.04E+03	-3.39E-01	-2.04E+00			6.34E+03	-3.06E-01	-1.94E+00	1267.75234	0.30579975	387.67836
6.09E+03	-3.34E-01	-2.04E+00			6.39E+03	-3.01E-01	-1.92E+00	1278.2416	0.30100745	384.76024
6.14E+03	-3.31E-01	-2.03E+00			6.44E+03	-2.96E-01	-1.91E+00	1288.32344	0.29615787	381.54712
6.19E+03	-3.27E-01	-2.03E+00			6.49E+03	-2.91E-01	-1.89E+00	1298.40518	0.29125097	378.16176
6.24E+03	-3.23E-01	-2.02E+00			6.54E+03	-2.87E-01	-1.88E+00	1308.4871	0.28664961	375.07732
6.29E+03	-3.20E-01	-2.01E+00			6.59E+03	-2.81E-01	-1.86E+00	1318.6708	0.28147545	371.17346
6.35E+03	-3.16E-01	-2.01E+00			6.65E+03	-2.76E-01	-1.84E+00	1329.15986	0.27618673	367.09632
6.40E+03	-3.13E-01	-2.00E+00			6.70E+03	-2.71E-01	-1.81E+00	1339.34356	0.27051613	362.31404
6.45E+03	-3.10E-01	-2.00E+00			6.75E+03	-2.66E-01	-1.80E+00	1349.4254	0.2660484	359.01246
6.50E+03	-3.06E-01	-1.99E+00			6.80E+03	-2.60E-01	-1.77E+00	1360.7293	0.25965229	353.31648
6.55E+03	-3.02E-01	-1.98E+00			6.86E+03	-2.54E-01	-1.74E+00	1371.62568	0.25365713	347.92264
6.60E+03	-2.98E-01	-1.97E+00			6.86E+03	-2.52E-01	-1.73E+00	1372.746	0.25159511	345.37618
6.66E+03	-2.94E-01	-1.96E+00								
6.71E+03	-2.90E-01	-1.95E+00								
6.76E+03	-2.86E-01	-1.93E+00								
6.81E+03	-2.83E-01	-1.93E+00								
6.86E+03	-2.79E-01	-1.91E+00								
6.91E+03	-2.75E-01	-1.90E+00								
6.96E+03	-2.71E-01	-1.89E+00								
7.02E+03	-2.67E-01	-1.87E+00								
7.07E+03	-2.62E-01	-1.85E+00								
7.12E+03	-2.58E-01	-1.84E+00								
7.18E+03	-2.53E-01	-1.81E+00								
7.17E+03	-2.52E-01	-1.80E+00								
0.00E+00	-8.27E-01	0.00E+00								
0.00E+00	-9.06E-01	0.00E+00								
0.00E+00	-9.16E-01	0.00E+00								
0.00E+00	-9.21E-01	0.00E+00								
0.00E+00	-9.24E-01	0.00E+00								
0.00E+00	-9.28E-01	0.00E+00								
4.68E+01	-9.28E-01	-4.34E-02								
9.72E+01	-8.41E-01	-8.18E-02								
1.49E+02	-8.00E-01	-1.19E-01								
1.99E+02	-7.79E-01	-1.55E-01								
2.54E+02	-7.63E-01	-1.94E-01								
3.04E+02	-7.50E-01	-2.28E-01								
3.56E+02	-7.39E-01	-2.63E-01								
4.07E+02	-7.29E-01	-2.97E-01								
4.57E+02	-7.20E-01	-3.29E-01								
5.09E+02	-7.13E-01	-3.62E-01								
5.60E+02	-7.04E-01	-3.94E-01								
6.12E+02	-6.97E-01	-4.27E-01								
6.63E+02	-6.89E-01	-4.57E-01								
7.14E+02	-6.83E-01	-4.88E-01								
7.64E+02	-6.77E-01	-5.17E-01								
8.22E+02	-6.70E-01	-5.51E-01								
8.73E+02	-6.65E-01	-5.80E-01								
9.25E+02	-6.59E-01	-6.10E-01								
9.76E+02	-6.54E-01	-6.39E-01								
1.03E+03	-6.49E-01	-6.67E-01								
1.08E+03	-6.45E-01	-6.96E-01								
1.13E+03	-6.40E-01	-7.24E-01								
1.18E+03	-6.36E-01	-7.52E-01								
1.23E+03	-6.31E-01	-7.79E-01								
1.28E+03	-6.27E-01	-8.05E-01								
1.33E+03	-6.23E-01	-8.31E-01								
1.38E+03	-6.19E-01	-8.57E-01								
1.44E+03	-6.15E-01	-8.84E-01								
1.49E+03	-6.10E-01	-9.10E-01								
1.54E+03	-6.07E-01	-9.35E-01								
1.59E+03	-6.03E-01	-9.61E-01								
1.65E+03	-5.99E-01	-9.86E-01								
1.70E+03	-5.95E-01	-1.01E+00								
1.75E+03	-5.91E-01	-1.04E+00								
1.80E+03	-5.88E-01	-1.06E+00								
1.86E+03	-5.84E-01	-1.08E+00								
1.91E+03	-5.81E-01	-1.11E+00								
1.96E+03	-5.78E-01	-1.13E+00								
2.01E+03	-5.74E-01	-1.15E+00								
2.06E+03	-5.70E-01	-1.18E+00								
2.11E+03	-5.67E-01	-1.20E+00								
2.17E+03	-5.64E-01	-1.22E+00								
2.22E+03	-5.60E-01	-1.24E+00								
2.27E+03	-5.57E-01	-1.26E+00								
2.32E+03	-5.54E-01	-1.28E+00								
2.37E+03	-5.51E-01	-1.31E+00								
2.42E+03	-5.47E-01	-1.33E+00								
2.48E+03	-5.44E-01	-1.35E+00								
2.53E+03	-5.40E-01	-1.37E+00								
2.58E+03	-5.37E-01	-1.39E+00								
2.63E+03	-5.33E-01	-1.41E+00								
2.69E+03	-5.30E-01	-1.42E+00								
2.74E+03	-5.27E-01	-1.44E+00								
2.79E+03	-5.23E-01	-1.46E+00								
2.84E+03	-5.20E-01	-1.48E+00								
2.90E+03	-5.16E-01	-1.50E+00								
2.95E+03	-5.13E-01	-1.51E+00								
3.00E+03	-5.10E-01	-1.53E+00								
3.05E+03	-5.07E-01	-1.55E+00								
3.11E+03	-5.03E-01	-1.56E+00								
3.16E+03	-5.00E-01	-1.58E+00								
3.21E+03	-4.97E-01	-1.59E+00								
3.26E+03	-4.93E-01	-1.61E+00								
3.31E+03	-4.90E-01	-1.62E+00								
3.36E+03	-4.87E-01	-1.64E+00								
3.41E+03	-4.84E-01	-1.65E+00								
3.46E+03	-4.80E-01	-1.66E+00								
3.51E+03	-4.77E-01	-1.68E+00								
3.57E+03	-4.74E-01	-1.69E+00								
3.62E+03	-4.71E-01	-1.70E+00								
3.67E+03	-4.67E-01	-1.72E+00								
3.73E+03	-4.64E-01	-1.73E+00								
3.78E+03	-4.61E-01	-1.74E+00								
3.83E+03	-4.58E-01	-1.75E+00								
3.88E+03	-4.55E-01	-1.77E+00								
