I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
0.00E+00	-9.17E-01	0.00E+00			5.34E+01	-9.03E-01	-4.82E-02	10.6807426	0.9027763	9.6423216
0.00E+00	-9.16E-01	0.00E+00			1.04E+02	-8.06E-01	-8.36E-02	20.762574	0.80563182	16.72699
0.00E+00	-9.16E-01	0.00E+00			1.54E+02	-7.64E-01	-1.18E-01	30.844404	0.76370388	23.555992
0.00E+00	-9.16E-01	0.00E+00			2.06E+02	-7.36E-01	-1.51E-01	41.129904	0.73626745	30.28261
0.00E+00	-9.16E-01	0.00E+00			2.57E+02	-7.14E-01	-1.84E-01	51.415412	0.71440613	36.731484
0.00E+00	-9.17E-01	0.00E+00			3.07E+02	-6.98E-01	-2.14E-01	61.497242	0.697528	42.896048
4.88E+01	-9.17E-01	-4.48E-02			3.58E+02	-6.84E-01	-2.45E-01	71.680896	0.68416303	49.04142
1.01E+02	-8.09E-01	-8.15E-02			4.09E+02	-6.71E-01	-2.74E-01	81.762726	0.67074072	54.84159
1.52E+02	-7.63E-01	-1.16E-01			4.60E+02	-6.60E-01	-3.04E-01	92.048236	0.6600678	60.758078
2.04E+02	-7.36E-01	-1.50E-01			5.11E+02	-6.50E-01	-3.32E-01	102.23189	0.65000588	66.451328
2.55E+02	-7.16E-01	-1.82E-01			5.62E+02	-6.42E-01	-3.60E-01	112.313732	0.64164323	72.065348
3.06E+02	-7.01E-01	-2.14E-01			6.12E+02	-6.33E-01	-3.87E-01	122.395568	0.63312781	77.49204
3.56E+02	-6.86E-01	-2.45E-01			6.62E+02	-6.26E-01	-4.14E-01	132.477392	0.62566251	82.886136
4.07E+02	-6.74E-01	-2.74E-01			7.14E+02	-6.19E-01	-4.42E-01	142.76289	0.61852175	88.30195
4.58E+02	-6.63E-01	-3.03E-01			7.65E+02	-6.12E-01	-4.68E-01	153.048388	0.61204928	93.673158
5.09E+02	-6.52E-01	-3.32E-01			8.17E+02	-6.05E-01	-4.94E-01	163.333886	0.60530949	98.867554
5.60E+02	-6.43E-01	-3.60E-01			8.67E+02	-5.99E-01	-5.20E-01	173.415722	0.59940982	103.947092
6.10E+02	-6.35E-01	-3.87E-01			9.19E+02	-5.94E-01	-5.46E-01	183.70122	0.59414017	109.14427
6.61E+02	-6.27E-01	-4.14E-01			9.69E+02	-5.88E-01	-5.70E-01	193.783056	0.58822137	113.987338
7.11E+02	-6.19E-01	-4.40E-01			1.02E+03	-5.83E-01	-5.95E-01	204.06854	0.58281809	118.934834
7.63E+02	-6.12E-01	-4.67E-01			1.07E+03	-5.78E-01	-6.19E-01	214.35408	0.57775849	123.844886
8.13E+02	-6.05E-01	-4.92E-01			1.12E+03	-5.73E-01	-6.43E-01	224.43588	0.57264161	128.521324
8.66E+02	-5.98E-01	-5.18E-01			1.17E+03	-5.68E-01	-6.66E-01	234.51772	0.56784928	133.170724
9.16E+02	-5.91E-01	-5.42E-01			1.22E+03	-5.63E-01	-6.89E-01	244.7014	0.56319064	137.813532
