I/mA	Ewe/V	P/W						Current density	Voltage	Power Density		
0.00E+00	-9.12E-01	0.00E+00			60.532288	-0.96381617	-0.058341999	12.1064576	0.96381617	11.6683998	0.060532288	0.96381617
0.00E+00	-9.12E-01	0.00E+00			111.45061	-0.85685796	-0.095497347	22.290122	0.85685796	19.0994694	0.11145061	0.85685796
0.00E+00	-9.12E-01	0.00E+00			162.87814	-0.82569838	-0.13448822	32.575628	0.82569838	26.897644	0.16287814	0.82569838
0.00E+00	-9.12E-01	0.00E+00			213.28728	-0.8062619	-0.17196541	42.657456	0.8062619	34.393082	0.21328728	0.8062619
0.00E+00	-9.13E-01	0.00E+00			264.20563	-0.79255319	-0.20939702	52.841126	0.79255319	41.879404	0.26420563	0.79255319
0.00E+00	-9.14E-01	0.00E+00			314.61475	-0.780792	-0.24564868	62.92295	0.780792	49.129736	0.31461475	0.780792
4.63E+01	-9.14E-01	-4.23E-02			368.07901	-0.77065367	-0.28366143	73.615802	0.77065367	56.732286	0.36807901	0.77065367
9.67E+01	-7.98E-01	-7.72E-02			418.99731	-0.76059175	-0.31868589	83.799462	0.76059175	63.737178	0.41899731	0.76059175
1.48E+02	-7.28E-01	-1.07E-01			469.40649	-0.7520954	-0.35303846	93.881298	0.7520954	70.607692	0.46940649	0.7520954
2.01E+02	-6.88E-01	-1.38E-01			520.83398	-0.74443918	-0.38772923	104.166796	0.74443918	77.545846	0.52083398	0.74443918
2.51E+02	-6.58E-01	-1.65E-01			572.26154	-0.73800486	-0.42233181	114.452308	0.73800486	84.466362	0.57226154	0.73800486
3.01E+02	-6.35E-01	-1.91E-01			624.19824	-0.72979498	-0.45553675	124.839648	0.72979498	91.10735	0.62419824	0.72979498
3.52E+02	-6.16E-01	-2.17E-01			677.66248	-0.72332245	-0.49016848	135.532496	0.72332245	98.033696	0.67766248	0.72332245
4.03E+02	-6.00E-01	-2.42E-01			728.58075	-0.71669728	-0.52217185	145.71615	0.71669728	104.43437	0.72858075	0.71669728
4.55E+02	-5.86E-01	-2.67E-01			779.49908	-0.71016747	-0.55357492	155.899816	0.71016747	110.714984	0.77949908	0.71016747
5.05E+02	-5.73E-01	-2.89E-01			830.41736	-0.70419145	-0.58477283	166.083472	0.70419145	116.954566	0.83041736	0.70419145
5.57E+02	-5.60E-01	-3.12E-01			880.82654	-0.69880724	-0.61552799	176.165308	0.69880724	123.105598	0.88082654	0.69880724
6.08E+02	-5.50E-01	-3.35E-01			932.76324	-0.69319391	-0.64658582	186.552648	0.69319391	129.317164	0.93276324	0.69319391
6.60E+02	-5.39E-01	-3.56E-01			985.20911	-0.68796247	-0.67778689	197.041822	0.68796247	135.557378	0.98520911	0.68796247
7.17E+02	-5.30E-01	-3.80E-01			1038.1642	-0.68275017	-0.70880675	207.63284	0.68275017	141.76135	1.0381642	0.68275017
7.69E+02	-5.20E-01	-4.00E-01			1089.0826	-0.67738503	-0.7377283	217.81652	0.67738503	147.54566	1.0890826	0.67738503
8.20E+02	-5.12E-01	-4.20E-01			1139.4918	-0.67287916	-0.76674032	227.89836	0.67287916	153.348064	1.1394918	0.67287916
8.70E+02	-5.04E-01	-4.38E-01			1192.4468	-0.66827774	-0.79688561	238.48936	0.66827774	159.377122	1.1924468	0.66827774
9.21E+02	-4.95E-01	-4.56E-01			1243.3651	-0.66325635	-0.82466978	248.67302	0.66325635	164.933956	1.2433651	0.66325635
9.71E+02	-4.88E-01	-4.73E-01			1295.811	-0.65896046	-0.85388821	259.1622	0.65896046	170.777642	1.295811	0.65896046
1.02E+03	-4.80E-01	-4.91E-01			1346.2201	-0.65441632	-0.88098842	269.24402	0.65441632	176.197684	1.3462201	0.65441632
1.07E+03	-4.73E-01	-5.08E-01			1399.1752	-0.6499486	-0.90939194	279.83504	0.6499486	181.878388	1.3991752	0.6499486
1.12E+03	-4.66E-01	-5.23E-01			1449.5842	-0.64611095	-0.93659222	289.91684	0.64611095	187.318444	1.4495842	0.64611095
1.17E+03	-4.59E-01	-5.39E-01			1502.5393	-0.64173865	-0.96423757	300.50786	0.64173865	192.847514	1.5025393	0.64173865
1.23E+03	-4.52E-01	-5.53E-01			1553.4578	-0.63759553	-0.99047774	310.69156	0.63759553	198.095548	1.5534578	0.63759553
1.28E+03	-4.45E-01	-5.68E-01			1604.3761	-0.63347149	-1.0163265	320.87522	0.63347149	203.2653	1.6043761	0.63347149
1.33E+03	-4.37E-01	-5.81E-01			1655.8036	-0.62976748	-1.0427712	331.16072	0.62976748	208.55424	1.6558036	0.62976748
1.38E+03	-4.31E-01	-5.94E-01			1708.2494	-0.62550974	-1.0685266	341.64988	0.62550974	213.70532	1.7082494	0.62550974
1.43E+03	-4.24E-01	-6.07E-01			1759.6769	-0.62190121	-1.0943452	351.93538	0.62190121	218.86904	1.7596769	0.62190121
1.48E+03	-4.17E-01	-6.17E-01			1810.5953	-0.61812079	-1.1191666	362.11906	0.61812079	223.83332	1.8105953	0.61812079
1.53E+03	-4.09E-01	-6.27E-01			1861.5134	-0.61445498	-1.1438162	372.30268	0.61445498	228.76324	1.8615134	0.61445498
