I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
0.00E+00	-9.49E-01	0.00E+00		3.91E+01	-9.02E-01	-3.53E-02	7.8293182	0.90243262	7.0654326	0.039146591	0.90243262
0.00E+00	-9.49E-01	0.00E+00		9.06E+01	-8.48E-01	-7.68E-02	18.1148208	0.84765518	15.355122	0.090574104	0.84765518
0.00E+00	-9.49E-01	0.00E+00		1.42E+02	-8.00E-01	-1.14E-01	28.400324	0.79954118	22.707228	0.14200162	0.79954118
0.00E+00	-9.50E-01	0.00E+00		1.95E+02	-7.78E-01	-1.52E-01	39.093168	0.77800441	30.414656	0.19546584	0.77800441
0.00E+00	-9.49E-01	0.00E+00		2.47E+02	-7.63E-01	-1.88E-01	49.378672	0.76267284	37.65977	0.24689336	0.76267284
0.00E+00	-9.51E-01	0.00E+00		2.98E+02	-7.50E-01	-2.23E-01	59.562342	0.74989974	44.665784	0.29781171	0.74989974
6.16E+01	-9.51E-01	-5.85E-02		3.49E+02	-7.39E-01	-2.58E-01	69.84784	0.73861587	51.590722	0.3492392	0.73861587
1.14E+02	-8.29E-01	-9.45E-02		4.02E+02	-7.29E-01	-2.93E-01	80.438854	0.72861117	58.608652	0.40219427	0.72861117
1.64E+02	-8.03E-01	-1.32E-01		4.53E+02	-7.19E-01	-3.26E-01	90.520684	0.71948481	65.128254	0.45260342	0.71948481
2.20E+02	-7.87E-01	-1.73E-01		5.04E+02	-7.11E-01	-3.58E-01	100.806188	0.7108739	71.660488	0.50403094	0.7108739
2.71E+02	-7.75E-01	-2.10E-01		5.55E+02	-7.03E-01	-3.90E-01	111.0917	0.70264488	78.058016	0.5554585	0.70264488
3.21E+02	-7.66E-01	-2.46E-01		6.11E+02	-6.95E-01	-4.25E-01	122.293726	0.69477862	84.967064	0.61146863	0.69477862
3.73E+02	-7.59E-01	-2.83E-01		6.62E+02	-6.87E-01	-4.55E-01	132.477392	0.68716061	91.033244	0.66238696	0.68716061
4.25E+02	-7.53E-01	-3.20E-01		7.14E+02	-6.80E-01	-4.86E-01	142.76289	0.6801917	97.106134	0.71381445	0.6801917
4.76E+02	-7.47E-01	-3.56E-01		7.65E+02	-6.74E-01	-5.16E-01	153.048388	0.67366195	103.102874	0.76524194	0.67366195
5.26E+02	-7.42E-01	-3.91E-01		8.17E+02	-6.67E-01	-5.45E-01	163.333886	0.66732311	108.996474	0.81666943	0.66732311
5.77E+02	-7.37E-01	-4.26E-01		8.68E+02	-6.61E-01	-5.74E-01	173.517542	0.66144252	114.771878	0.86758771	0.66144252
6.28E+02	-7.33E-01	-4.60E-01		9.18E+02	-6.55E-01	-6.01E-01	183.599378	0.65518004	120.290648	0.91799689	0.65518004
6.80E+02	-7.28E-01	-4.95E-01		9.69E+02	-6.50E-01	-6.30E-01	193.884888	0.65008223	126.041114	0.96942444	0.65008223
7.32E+02	-7.23E-01	-5.29E-01		1.02E+03	-6.44E-01	-6.57E-01	204.1704	0.64391524	131.468428	1.020852	0.64391524
7.83E+02	-7.18E-01	-5.62E-01		1.07E+03	-6.39E-01	-6.85E-01	214.25222	0.63898933	136.904884	1.0712611	0.63898933
8.33E+02	-7.13E-01	-5.94E-01		1.12E+03	-6.34E-01	-7.11E-01	224.33406	0.63358605	142.134928	1.1216703	0.63358605
8.86E+02	-7.09E-01	-6.28E-01		1.17E+03	-6.29E-01	-7.37E-01	234.4159	0.6286028	147.354484	1.1720795	0.6286028
9.38E+02	-7.04E-01	-6.61E-01		1.22E+03	-6.23E-01	-7.62E-01	244.59954	0.6232568	152.44832	1.2229977	0.6232568
9.89E+02	-7.00E-01	-6.93E-01		1.27E+03	-6.18E-01	-7.88E-01	254.78322	0.61840719	157.559776	1.2739161	0.61840719
1.04E+03	-6.96E-01	-7.24E-01		1.32E+03	-6.14E-01	-8.13E-01	264.86506	0.6136722	162.540328	1.3243253	0.6136722
