x1,y1,x2,y2,x3,y3
13.22,0.01568,12.59456938,0.0160529,24.25515645,0.017230435
23.4,0.01384,13.26956437,0.017679278,27.025371,0.013822609
33.6,0.01404,39.63125275,0.016011689,33.26297701,0.015758468
44,0.01237,45.25804851,0.014331091,44.84820132,0.01575387
54.6,0.01672,61.75170726,0.018807617,63.77650329,0.016421902
64.8,0.01386,66.00014754,0.016426848,73.51325939,0.01785811
75,0.01382,68.13903526,0.01655058,75.01583758,0.014939726
85.2,0.01442,69.79833772,0.016078635,93.85836227,0.015707117
95.8,0.0153,98.08449172,0.017145029,99.95722097,0.016458764
106.6,0.01455,116.6210563,0.016554722,102.4144043,0.016079874
117.6,0.01603,122.3498289,0.016215025,116.3764569,0.017052537
127.8,0.01442,123.5433214,0.017799897,126.7224607,0.016349319
137.8,0.01538,129.9254836,0.018376889,132.6765286,0.015600365
148.6,0.01464,140.8039404,0.017251888,147.8022637,0.016281761
158.8,0.01559,143.757195,0.017132623,165.8923219,0.016468497
169.4,0.0153,181.3071878,0.017727537,176.3682344,0.017306346
179.8,0.0154,198.5557415,0.017363246,184.0858699,0.016532811
190.2,0.01592,204.146378,0.017643062,193.096778,0.017480356
200,0.01577,206.1202864,0.017424415,207.9806119,0.017207845
212,0.0159,206.7482526,0.017981423,216.8686844,0.01680155
222,0.01504,233.7251773,0.016041787,232.0406066,0.017679023
232,0.01603,247.8689006,0.017095804,233.3266722,0.017685923
242,0.0158,252.778198,0.017953294,239.5783998,0.016235624
254,0.0164,260.3220737,0.017763321,245.0182821,0.016636741
264,0.01517,283.7269702,0.017872202,254.8266249,0.017968682
274,0.01625,289.8015032,0.017168147,257.9288527,0.016885077
284,0.01449,297.9446617,0.016925334,271.7062166,0.016359791
294,0.01568,308.2910953,0.017308821,290.7564635,0.016731878
304,0.01522,308.4308106,0.017491303,295.1659812,0.016294062
314,0.01586,308.6691844,0.017152548,296.0261129,0.016283883
324,0.01446,322.6670551,0.016199805,321.5526866,0.016517946
336,0.01583,331.1040196,0.01757264,330.3197503,0.016753029
346,0.01466,342.9337958,0.016844866,341.7895162,0.015781477
356,0.0155,366.1561639,0.018204429,348.0913656,0.017906331
