New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,
17.41889,0.02167,17.05306,0.021656,22.27895,0.022146,0.020156
37.63162,0.021878,38.74521,0.021887,42.27398,0.022156,0.020387
56.98779,0.02193,59.91253,0.021414,61.68906,0.021666,0.019914
77.32245,0.022251,82.71176,0.021805,80.41802,0.020954,0.020305
98.32898,0.02198,100.39373,0.021424,98.44719,0.021995,0.019924
120.42636,0.021958,117.5714,0.021204,118.42957,0.02175,0.019704
141.6651,0.021736,139.26785,0.022185,141.78943,0.022163,0.020685
158.97864,0.022366,159.68375,0.02185,157.51521,0.021745,0.02035
176.6904,0.021832,177.83085,0.021991,179.5177,0.02189,0.020491
199.97048,0.021529,200.44208,0.022285,200.08583,0.020942,0.020785
214.84267,0.021586,218.08167,0.02098,217.79876,0.021171,0.01948
242.21002,0.022025,239.10448,0.022427,238.36601,0.021533,0.020927
254.65572,0.02165,260.94645,0.022043,260.79837,0.021666,0.020543
277.72353,0.022191,279.64969,0.021541,281.71864,0.02133,0.020041
301.33934,0.021309,297.63731,0.021483,300.76231,0.021542,0.019983
317.54913,0.021933,317.90077,0.021146,321.47295,0.021577,0.019646
337.74281,0.022012,336.17702,0.022009,338.03416,0.021612,0.020509
359.30468,0.021617,361.61969,0.021994,357.89678,0.021288,0.020494
378.09279,0.022024,378.53341,0.021525,377.22108,0.020671,0.020025
400.48361,0.021628,396.90309,0.021897,397.77434,0.021164,0.020397
421.93638,0.021868,420.04273,0.022402,419.01012,0.021809,0.020902
440.80003,0.020558,437.12724,0.021781,436.19593,0.021801,0.020281
459.58942,0.021987,456.94449,0.021691,458.24556,0.021674,0.020191
473.83818,0.021981,480.24228,0.022048,479.18937,0.022145,0.020548
498.09918,0.021869,498.89293,0.022336,501.14353,0.021443,0.020836
517.35182,0.021859,517.59124,0.021801,518.65375,0.021833,0.020301
537.25737,0.020979,534.73198,0.022185,534.86666,0.02204,0.020685
557.71829,0.02162,557.75779,0.021846,556.17123,0.021528,0.020346
576.72111,0.021988,578.10345,0.021866,576.42224,0.021038,0.020366
597.50657,0.02201,600.23415,0.021755,597.15217,0.021337,0.020255
617.43622,0.022377,617.28782,0.022358,613.75719,0.021211,0.020858
637.79401,0.02195,635.79892,0.022051,635.74633,0.021887,0.020551
655.45522,0.022026,658.72071,0.021953,656.94165,0.021995,0.020453
