New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y
25.9281,0.021055,7.66663,0.020756,10.86538,0.01991
48.38235,0.020121,57.90691,0.020707,41.16675,0.020957
72.93778,0.020133,67.20402,0.019896,72.3373,0.020431
83.885,0.020172,87.33928,0.020441,88.90232,0.021248
112.51704,0.020511,103.21136,0.020193,120.24526,0.021654
120.12058,0.020524,113.66766,0.01867,130.47312,0.020346
135.6762,0.01911,142.53854,0.020522,140.66873,0.022024
155.69761,0.019902,146.65732,0.020743,164.85768,0.022093
172.74911,0.02094,193.65996,0.02161,188.46397,0.021005
199.50226,0.020652,196.38485,0.021431,191.7419,0.020696
230.6943,0.021122,211.64162,0.019792,204.16862,0.023687
248.33541,0.021527,241.07051,0.02109,262.24843,0.022327
255.10051,0.020113,245.17319,0.020696,278.50123,0.021813
296.8555,0.020078,293.74742,0.01982,308.1077,0.02052
310.43562,0.02055,295.10631,0.02012,328.23662,0.02224
324.5188,0.020798,318.1877,0.02036,330.74257,0.020696
343.07522,0.020531,319.67465,0.018792,345.54432,0.020744
346.25174,0.020037,324.71176,0.020613,352.38241,0.023142
346.6507,0.020352,336.97302,0.020942,353.64692,0.021254
391.22913,0.019205,367.03562,0.020099,377.95721,0.021009
423.55344,0.019947,423.81629,0.019931,422.30131,0.019832
452.96824,0.019487,446.94469,0.020481,468.33153,0.022072
467.70235,0.020527,456.57395,0.019819,485.17142,0.021074
474.02064,0.021026,468.77011,0.019795,495.07871,0.020715
506.38673,0.02135,484.73314,0.020644,511.49519,0.021197
509.40192,0.019883,499.34653,0.020284,520.86535,0.022008
526.66557,0.019619,501.78238,0.019766,531.12118,0.020867
545.98353,0.019904,548.59314,0.01931,554.45932,0.019964
572.97387,0.021297,564.68194,0.019567,573.48811,0.02197
605.20581,0.020332,606.13443,0.020513,590.48558,0.022093
635.39173,0.020826,649.54106,0.019824,635.29251,0.021526
642.11474,0.019282,655.02256,0.018965,658.68543,0.021606
672.54771,0.021127,659.98627,0.019664,662.76035,0.021307
681.95281,0.020936,660.16089,0.019968,693.91818,0.019725
711.33055,0.021101,719.43932,0.020126,715.28444,0.022378
727.65211,0.021327,722.63654,0.019577,727.20781,0.021657
729.97112,0.020649,734.22244,0.019741,738.20882,0.019888
750.07008,0.020615,761.63189,0.021388,775.72294,0.021989
801.30917,0.021298,795.68576,0.020868,800.25428,0.021586
804.17305,0.021131,811.38883,0.020611,801.30402,0.019738
808.18836,0.019653,814.4236,0.01983,815.8094,0.021457
832.42971,0.019436,823.5979,0.020091,836.91568,0.020301
851.95764,0.019079,857.59364,0.020505,838.18251,0.021385
863.0288,0.019133,859.59725,0.021327,860.33171,0.020671
872.45584,0.01999,865.3181,0.020383,884.20711,0.020929
915.02973,0.020568,910.32007,0.019715,900.85677,0.021067
929.77278,0.020683,936.10882,0.020821,920.55265,0.022516
934.00772,0.020539,945.44007,0.019826,933.38499,0.021934
947.17775,0.019662,958.28455,0.019446,945.58907,0.022921
996.65311,0.020514,984.20391,0.020706,984.30422,0.021296
998.75234,0.020416,993.52716,0.020021,1021.06787,0.020259
1032.67185,0.020665,998.34876,0.02042,1030.9814,0.020348
1052.07407,0.021011,1074.85164,0.020944,1050.19934,0.021213
1097.14878,0.020692,1084.89888,0.02175,1096.09717,0.021359
1128.58015,0.020848,1094.94358,0.020583,1116.57598,0.021528
1137.52402,0.020583,1128.55689,0.020037,1123.38253,0.020688
1159.30267,0.020517,1154.87211,0.020671,1127.24323,0.021834
1166.62116,0.020489,1158.45427,0.020282,1151.38573,0.021118
1190.74705,0.019928,1162.04209,0.02002,1169.19882,0.020804
1197.73208,0.020162,1185.78254,0.019262,1207.14847,0.021429
1219.40942,0.020055,1190.71483,0.02103,1208.64255,0.022067
1262.61917,0.020228,1203.52276,0.019285,1223.18208,0.019975
1264.15128,0.021384,1257.98735,0.020511,1239.11026,0.021139
1268.30485,0.021394,1270.87132,0.019566,1243.838,0.020124
1298.18054,0.020855,1279.57819,0.019944,1278.33005,0.021308
1324.31862,0.021347,1301.45077,0.019933,1280.71066,0.020528
1353.77743,0.020146,1322.93712,0.019264,1326.957,0.022061
1372.80143,0.020332,1368.0927,0.020074,1368.14413,0.020264
1392.7273,0.020377,1373.53959,0.019989,1382.84019,0.021014
1423.81022,0.019123,1373.57162,0.020232,1384.77163,0.021454
1441.56487,0.019619,1432.37941,0.020363,1437.33607,0.021319
1456.61872,0.020676,1437.01848,0.020022,1440.68381,0.021151
1485.93672,0.020583,1441.44875,0.019645,1442.63835,0.021417
1502.68353,0.020177,1457.90193,0.02045,1492.38204,0.022186
1526.39265,0.020138,1503.52692,0.019851,1509.56726,0.02053
1547.693,0.020889,1550.72709,0.020701,1529.14241,0.020796
1555.51307,0.019631,1555.78382,0.019693,1559.63373,0.021412
1558.63003,0.020293,1558.33478,0.019791,1562.62109,0.022589
1603.92234,0.019933,1565.83905,0.020496,1567.23529,0.021814
1606.93619,0.021252,1597.80322,0.020196,1570.68457,0.021932
1620.45923,0.020787,1628.90243,0.021014,1599.58604,0.021638
1667.31592,0.02,1679.06474,0.0204,1626.10926,0.020469
1681.7071,0.020179,1685.70701,0.019723,1672.01198,0.020991
1691.86735,0.02064,1701.77594,0.019326,1687.4058,0.020543
1725.44432,0.021075,1713.73468,0.019964,1697.61314,0.021428
1729.02994,0.02166,1731.28273,0.021437,1707.98041,0.020689
1736.59987,0.020712,1735.94612,0.020655,1734.23142,0.021596
1762.78085,0.020966,1757.20836,0.0205,1737.6732,0.019632
1791.1946,0.021338,1798.6541,0.021123,1742.13906,0.02209
1822.91235,0.019779,1826.5118,0.019379,1792.45019,0.019436
1835.34514,0.020569,1846.49912,0.020274,1825.27777,0.022338
1861.19545,0.020282,1851.40551,0.018703,1827.87349,0.021286
1866.9181,0.020018,1853.91157,0.020258,1870.57613,0.021139
1892.42367,0.020748,1895.74307,0.020517,1892.14292,0.022326
1925.62432,0.020927,1918.87879,0.020455,1894.33769,0.020892
1939.69698,0.020859,1930.23764,0.019793,1901.07932,0.021908
1940.31545,0.020267,1943.00156,0.020467,1932.91103,0.020245
1963.01114,0.020569,1991.78486,0.020107,1958.04355,0.020517
2017.85344,0.020837,1991.91852,0.019918,1966.85491,0.021292
2018.63139,0.019959,2033.74841,0.020045,2008.13207,0.020326
2045.79297,0.020816,2044.01856,0.020417,2028.79852,0.021491
2056.70751,0.019576,2065.17731,0.019713,2035.24688,0.020911
2071.82296,0.020524,2069.83895,0.021237,2062.98325,0.020811
2107.30652,0.019643,2108.94206,0.019283,2085.276,0.021151
2117.83132,0.020612,2117.486,0.020051,2092.3121,0.023268
2128.277,0.020895,2141.98793,0.021678,2120.91126,0.020152
2170.15244,0.019291,2145.28847,0.019892,2142.08028,0.021075
2173.63421,0.019828,2160.94978,0.019674,2170.63445,0.020134
2216.36296,0.020637,2182.52178,0.020262,2184.91093,0.022024
2220.243,0.020259,2208.80252,0.020537,2190.76295,0.022122
2231.07002,0.020994,2218.18033,0.019469,2195.92282,0.021564
2260.69304,0.020177,2225.30643,0.020692,2211.03605,0.022116
2297.75308,0.020253,2269.21801,0.021513,2241.34705,0.02189
2333.8609,0.020679,2276.52745,0.019382,2260.57031,0.021273
2334.94484,0.020407,2331.50805,0.020054,2287.32688,0.022047
2348.07452,0.020763,2332.94615,0.021191,2318.82503,0.022599
2373.24478,0.019636,2347.11866,0.021278,2329.79761,0.021582
2390.19725,0.020919,2378.13914,0.021262,2354.80363,0.022031
2395.99513,0.019813,2393.03208,0.020849,2374.55544,0.02026
2403.80412,0.020712,2404.17243,0.021261,2376.74411,0.021597
2456.27847,0.020845,2424.33674,0.02079,2387.14527,0.02106
2487.29074,0.020819,2457.95494,0.021018,2391.17218,0.021995
2489.2115,0.020716,2492.55884,0.020144,2482.13986,0.021633
2520.58173,0.020168,2504.897,0.019789,2482.59078,0.022164
2526.77459,0.019966,2505.33376,0.02007,2495.46327,0.021746
2544.68711,0.021993,2509.46124,0.020701,2496.06852,0.021543
2574.37929,0.020788,2548.60021,0.019374,2531.0544,0.022149
2600.38898,0.019839,2554.88273,0.018951,2568.02097,0.021081
2600.54027,0.020216,2605.05482,0.01927,2573.7413,0.0231
2614.62113,0.02257,2610.204,0.019956,2595.34268,0.022601
2643.69445,0.020195,2627.73934,0.019389,2605.80321,0.021148
2674.09496,0.020935,2640.88012,0.020323,2614.1401,0.022532
2683.52908,0.021184,2683.70685,0.019132,2659.79674,0.022138
2689.96756,0.021689,2684.69607,0.019876,2661.30915,0.021146
2745.20084,0.021329,2692.94802,0.021035,2678.30862,0.021454
2755.00016,0.019805,2743.27312,0.020112,2712.44783,0.021388
2763.13493,0.019663,2756.0714,0.020973,2747.59763,0.022002
2772.38496,0.020121,2762.84857,0.021597,2749.39684,0.023166
2819.806,0.020639,2783.39922,0.020741,2751.3588,0.021766
2831.88482,0.021104,2813.76545,0.019797,2781.64791,0.021144
2852.1713,0.019904,2834.96172,0.019862,2803.83938,0.020326
2859.5434,0.020396,2837.08047,0.020931,2835.73367,0.021427
2897.49432,0.02116,2882.61563,0.020647,2854.90231,0.020746
2929.35545,0.020031,2903.45725,0.020615,2855.40982,0.021116
2940.36206,0.01907,2905.51018,0.019872,2913.80168,0.021822
2971.40711,0.020203,2946.89923,0.019397,2962.16966,0.021289
2971.55159,0.021312,2959.16293,0.019602,2971.73156,0.021504
3005.09733,0.019757,3000.04485,0.019782,2983.08196,0.020793
3014.35017,0.020355,3006.31407,0.019526,2986.54266,0.021812
3040.86317,0.019582,3014.17427,0.018964,3010.68119,0.02211
3044.42038,0.021,3020.56348,0.020537,3017.65376,0.02088
3075.76875,0.020797,3035.27344,0.01975,3026.9105,0.022606
3077.66204,0.020098,3050.24468,0.019969,3032.70416,0.022416
3092.84925,0.020257,3073.13103,0.020487,3068.04605,0.021587
3156.58809,0.020372,3078.12544,0.020423,3072.55509,0.021692
3158.66985,0.02003,3159.0977,0.020066,3074.02088,0.019839
