New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y
13.22,0.022382,12.59457,0.021567,24.25516,0.019705
23.4,0.021205,13.26956,0.0207,27.02537,0.021122
44,0.020132,45.25805,0.021044,44.8482,0.019309
64.8,0.020962,66.00015,0.020068,73.51326,0.021382
85.2,0.021756,69.79834,0.020786,93.85836,0.020726
106.6,0.019729,116.62106,0.021271,102.4144,0.021743
127.8,0.01987,123.54332,0.022138,126.72246,0.020107
148.6,0.020146,140.80394,0.021916,147.80226,0.020525
169.4,0.019909,181.30719,0.02186,176.36823,0.019969
190.2,0.021604,204.14638,0.020723,193.09678,0.020995
212,0.020688,206.74825,0.020119,216.86868,0.020014
232,0.02062,247.8689,0.021354,233.32667,0.020846
254,0.021177,260.32207,0.022063,245.01828,0.02057
274,0.020483,289.8015,0.022091,257.92885,0.020812
294,0.020746,308.2911,0.021528,290.75646,0.021593
314,0.020231,308.66918,0.020683,296.02611,0.02158
336,0.020209,331.10402,0.021287,330.31975,0.021657
356,0.021536,366.15616,0.020724,348.09137,0.020836
376,0.021088,373.01929,0.020849,391.34447,0.019794
396,0.020233,395.67353,0.02095,404.90584,0.020995
418,0.020355,425.59764,0.021638,413.54105,0.021242
438,0.019648,446.52217,0.020098,459.7554,0.020125
460,0.020429,461.54003,0.020501,464.81825,0.022327
470,0.02056,463.66929,0.020779,474.60344,0.021332
490,0.020822,484.57046,0.020766,500.15751,0.020883
512,0.020723,517.95285,0.021099,516.06924,0.020879
532,0.020762,529.70649,0.020335,549.00316,0.020828
552,0.020459,550.89991,0.022481,552.71185,0.020456
574,0.020332,575.48123,0.020552,593.78323,0.021396
594,0.020696,594.30747,0.021204,606.74426,0.021287
614,0.020921,617.62273,0.021508,617.95737,0.020176
636,0.020527,640.12506,0.020905,658.70065,0.021464
656,0.020741,661.56714,0.020963,662.65984,0.020449
676,0.02086,690.3825,0.021213,689.3904,0.021121
698,0.019904,704.19292,0.021231,705.8684,0.019802
718,0.020933,708.00855,0.020784,727.14327,0.020304
738,0.021004,721.96449,0.019871,760.95488,0.020466
760,0.020069,765.64039,0.021453,774.47128,0.020767
780,0.020436,773.37917,0.021099,780.46927,0.020232
800,0.021623,800.99687,0.021777,804.77106,0.020948
820,0.021047,824.60056,0.021002,814.53216,0.020278
842,0.021313,850.22455,0.020322,836.69216,0.021345
862,0.021534,859.79495,0.020182,867.09066,0.021275
884,0.021347,893.08313,0.020715,886.97095,0.021344
906,0.021912,899.07873,0.020203,901.07163,0.020835
926,0.022088,924.78166,0.021808,924.03865,0.020955
936,0.020932,930.07573,0.021911,948.6778,0.020635
958,0.020689,956.8314,0.021497,974.17991,0.018814
978,0.02025,977.30698,0.021048,998.62283,0.021019
998,0.020295,993.5218,0.021907,1009.87797,0.02082
1020,0.021573,1022.00486,0.020796,1022.55636,0.019769
1042,0.019623,1051.26999,0.021795,1047.65147,0.021277
1062,0.020787,1058.53026,0.021587,1065.59209,0.021783
1082,0.020005,1068.25474,0.020674,1097.30481,0.020303
1106,0.02047,1103.33335,0.021019,1119.43701,0.020582
1126,0.021248,1126.40922,0.02111,1133.43362,0.021366
1148,0.020221,1143.03212,0.021679,1158.40838,0.020635
1168,0.021035,1178.5324,0.020896,1183.00817,0.021431
1190,0.021057,1182.89504,0.020664,1208.84645,0.020307
1210,0.020865,1216.1356,0.02053,1218.50405,0.020362
1232,0.02029,1221.53754,0.02053,1240.80329,0.021772
1254,0.020019,1244.81559,0.021231,1255.86929,0.022837
1274,0.020255,1270.08682,0.020071,1282.10774,0.019949
1294,0.019795,1291.69616,0.021674,1313.03457,0.021338
1316,0.020674,1309.58749,0.020768,1321.83307,0.020787
1336,0.02106,1335.92641,0.020362,1355.84543,0.021782
1356,0.020848,1357.70094,0.022321,1359.75843,0.020346
1376,0.020455,1387.93345,0.022894,1385.92507,0.019921
1388,0.020903,1398.33203,0.021889,1406.46182,0.021389
1408,0.020624,1406.92823,0.02362,1427.13233,0.022355
1430,0.021023,1421.42298,0.021815,1466.02735,0.020366
1450,0.020694,1435.99184,0.022229,1476.94366,0.021084
1472,0.019974,1476.30228,0.022259,1492.81804,0.019946
1492,0.020959,1498.52638,0.021112,1500.24149,0.021726
1514,0.02121,1515.76377,0.021649,1537.45005,0.021424
1534,0.01983,1531.76667,0.023178,1539.5938,0.020856
1554,0.020553,1559.23063,0.022689,1560.58185,0.021617
1574,0.02007,1580.34593,0.021393,1597.12203,0.021632
1596,0.021993,1609.69833,0.021967,1614.29697,0.02164
1616,0.02105,1613.9843,0.022175,1631.58224,0.022005
1636,0.021238,1636.50764,0.022859,1647.29137,0.020944
1656,0.021152,1651.59658,0.021694,1671.99467,0.020691
1678,0.020481,1667.55424,0.020859,1684.92475,0.02204
1698,0.019458,1705.69826,0.023102,1722.77186,0.021065
1720,0.021448,1731.82216,0.021089,1728.44124,0.020315
1742,0.021379,1751.41771,0.020169,1749.46827,0.020112
1762,0.02032,1766.92588,0.02153,1775.84401,0.021094
1784,0.020673,1782.95624,0.021886,1792.28443,0.021027
1804,0.020627,1810.09608,0.021208,1811.9663,0.022017
1824,0.019847,1829.33404,0.022291,1834.40637,0.021165
1844,0.020896,1848.80915,0.020966,1853.65972,0.021055
1856,0.020481,1856.42389,0.02067,1880.16515,0.020366
1876,0.02096,1871.68619,0.020438,1886.41145,0.021638
1896,0.020518,1888.24661,0.022733,1934.05518,0.02266
1916,0.021099,1908.25163,0.022068,1936.48726,0.02075
1938,0.02092,1937.26965,0.022456,1960.10038,0.020963
1958,0.020186,1961.44899,0.02121,1982.48416,0.021637
1980,0.020562,1983.87485,0.022365,2008.50227,0.022472
2000,0.020772,2009.02287,0.022808,2033.2991,0.02071
2020,0.021194,2014.02154,0.020783,2047.9027,0.021434
2040,0.020395,2052.66537,0.021717,2065.25542,0.020343
2060,0.022033,2063.02425,0.020618,2086.32626,0.022536
2080,0.021105,2079.40054,0.020468,2098.17749,0.021183
2100,0.021233,2101.6673,0.021594,2109.74263,0.021816
2120,0.020708,2133.04939,0.020925,2151.38742,0.02224
2140,0.020921,2142.24747,0.021123,2172.30782,0.020158
2160,0.020571,2164.86763,0.021664,2190.24591,0.020865
2180,0.021495,2186.78224,0.020866,2208.81439,0.021067
2200,0.020188,2206.22863,0.020519,2221.37057,0.02147
2220,0.019945,2235.53477,0.019537,2245.4786,0.022223
2240,0.020568,2242.53938,0.021048,2277.64334,0.021686
2280,0.021203,2278.70852,0.021704,2289.32153,0.021676
2300,0.020679,2289.09128,0.021507,2297.51165,0.021859
,0.020728628,,0.021306398,,0.021008389
