New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y
22.50073,0.021911,24.08775,0.019207,28.40163,0.020171
23.7383,0.019574,27.7452,0.020695,33.01889,0.021015
28.25143,0.019597,35.39685,0.019125,39.53154,0.020056
73.16817,0.01975,72.33443,0.019871,67.91659,0.022345
77.57478,0.019052,84.87877,0.020185,81.8348,0.020897
111.99655,0.020284,101.63472,0.020526,118.19463,0.019643
138.35305,0.019871,134.41474,0.019452,134.93066,0.021317
153.40958,0.01885,149.68077,0.019692,141.85971,0.0201
167.0262,0.019464,163.49068,0.018794,170.25005,0.020664
187.972,0.018942,184.70454,0.021981,198.57913,0.019572
229.73328,0.019279,231.8038,0.019601,225.36073,0.020599
232.68747,0.020811,240.47298,0.019117,235.18541,0.021487
258.37705,0.019443,255.54342,0.020033,270.00332,0.019222
267.43851,0.019566,292.8735,0.019723,274.38764,0.020964
296.43714,0.018429,298.04275,0.018602,295.48138,0.01993
304.15322,0.01858,319.13301,0.018221,321.81995,0.02091
348.19479,0.019624,343.36992,0.019038,352.04578,0.020827
354.1533,0.019429,348.5479,0.019558,356.99786,0.021368
358.81177,0.019005,364.24397,0.019736,359.626,0.019751
400.0977,0.019981,405.98158,0.02039,399.24428,0.020084
420.01609,0.02016,414.93249,0.018949,415.17176,0.020089
437.93582,0.020051,421.76528,0.018452,436.40307,0.018601
445.93727,0.019511,437.15763,0.018772,460.91468,0.020748
458.80894,0.019861,439.89348,0.021228,468.48226,0.021966
477.76519,0.020189,467.64914,0.019779,491.64078,0.020513
519.43691,0.01988,516.76021,0.01994,518.06523,0.019893
527.47651,0.019374,531.68869,0.022052,535.78719,0.019396
562.05926,0.018325,553.22844,0.018379,573.42194,0.020225
571.07395,0.01892,566.26462,0.01994,583.36419,0.019815
588.74915,0.019722,588.48095,0.01989,609.97084,0.020692
617.19319,0.01974,614.21675,0.019851,634.51917,0.02049
652.19761,0.019027,653.82885,0.017647,655.28869,0.020034
666.33413,0.018954,666.1563,0.018957,664.55587,0.02172
680.96551,0.019285,679.20479,0.018982,682.49023,0.021992
704.47146,0.019955,718.59406,0.019062,712.60367,0.019764
713.1887,0.020151,724.89216,0.019547,735.70455,0.018687
735.48637,0.018724,736.18884,0.021068,741.05671,0.018838
753.77369,0.019239,773.31274,0.019154,783.77599,0.020026
779.68545,0.021032,784.10561,0.022108,784.50251,0.020436
792.1692,0.019464,802.41524,0.020387,797.70179,0.020044
809.20016,0.019577,809.16352,0.020417,806.81411,0.020322
831.77624,0.020231,831.70074,0.018556,838.57043,0.020164
859.19024,0.019518,850.80867,0.017874,870.60795,0.022135
877.81285,0.020339,867.55926,0.01967,879.64108,0.022993
908.77578,0.019029,914.33904,0.018512,929.87346,0.0209
933.90186,0.018711,933.83639,0.019299,935.98049,0.020176
936.89044,0.018751,938.06011,0.018417,945.81497,0.021311
952.09439,0.018966,948.29044,0.019976,962.68139,0.021756
974.09177,0.020176,968.04379,0.022169,981.30332,0.02024
986.41791,0.018359,979.77819,0.018965,1031.49908,0.020902
1031.11345,0.019874,1036.11256,0.01993,1037.43936,0.01907
1044.9796,0.019343,1048.39186,0.019605,1057.62952,0.021149
1067.63217,0.019726,1070.12795,0.017929,1075.39146,0.019762
1082.06875,0.019836,1082.18639,0.019439,1091.44175,0.020911
1091.26112,0.019549,1094.55083,0.019264,1110.7881,0.020964
1137.76787,0.019808,1137.74554,0.019065,1150.44137,0.020356
1155.33819,0.018793,1157.4705,0.019888,1160.59159,0.020658
1176.02259,0.01981,1174.16241,0.020005,1176.7222,0.020277
1183.69671,0.02096,1178.45899,0.017519,1201.12933,0.020171
1218.22542,0.020232,1199.93401,0.018676,1219.60037,0.021132
1221.76682,0.020191,1216.03535,0.018664,1234.19619,0.0218
1242.57536,0.021003,1242.91338,0.019343,1261.73251,0.02155
1265.79698,0.018423,1257.90535,0.020931,1278.64193,0.020851
1303.76464,0.020366,1303.75644,0.0182,1296.32463,0.021625
1319.37628,0.019703,1324.06294,0.019744,1336.47742,0.021135
1338.18411,0.019959,1349.74898,0.019457,1361.2695,0.021567
1357.97395,0.019902,1366.45948,0.020172,1366.48697,0.021015
1369.12607,0.020509,1374.85433,0.019723,1369.53756,0.020384
1374.47622,0.019763,1380.47033,0.018111,1409.31792,0.019722
1405.79296,0.020537,1412.76908,0.020066,1432.42981,0.020377
1427.21754,0.020035,1439.26586,0.022665,1462.1705,0.020283
1458.22119,0.020337,1452.17495,0.020335,1468.8903,0.021572
1474.42122,0.019686,1474.92448,0.018204,1481.95234,0.020167
1487.1177,0.020986,1480.94748,0.018601,1515.81158,0.02236
1511.51402,0.021298,1508.20298,0.019556,1524.3756,0.020371
1518.06854,0.020024,1523.90646,0.019387,1533.27065,0.021237
1550.20331,0.020136,1536.02361,0.021054,1567.37993,0.020892
1578.55122,0.019658,1571.72086,0.01922,1595.20059,0.019965
1596.88831,0.019586,1596.37891,0.017833,1610.49247,0.019919
1611.63656,0.021003,1606.57852,0.019964,1633.71613,0.021309
1642.00661,0.018969,1642.05056,0.017088,1648.76007,0.02118
1671.61741,0.019391,1661.36798,0.018281,1682.79038,0.021326
1677.27882,0.017951,1683.52361,0.020174,1693.79537,0.021706
1696.84034,0.02077,1692.94134,0.019992,1709.91786,0.021102
1708.78604,0.019834,1710.27847,0.019614,1737.86708,0.020161
1751.78394,0.019574,1752.32497,0.018751,1755.35166,0.021265
1757.75151,0.018921,1771.17766,0.019163,1765.45095,0.018046
1796.10287,0.019736,1777.00942,0.019205,1801.4035,0.020229
1808.56306,0.018515,1816.0555,0.021344,1803.23147,0.020062
1822.58338,0.019303,1823.37111,0.019773,1844.35057,0.020021
1840.74488,0.018541,1841.9154,0.019171,1867.99644,0.019886
1842.95681,0.0199,1855.43135,0.019741,1885.78662,0.019735
1877.26758,0.017941,1879.77903,0.020212,1910.58392,0.019063
1895.95711,0.021032,1899.06706,0.021307,1914.13179,0.019256
1909.90004,0.019691,1908.47405,0.021242,1930.7427,0.020374
1926.88179,0.019784,1921.10552,0.019925,1945.31576,0.019765
1942.77746,0.019603,1939.06285,0.019826,1970.71138,0.020009
1976.3036,0.018275,1963.49477,0.018404,1987.16281,0.018867
1995.14197,0.019731,1999.47546,0.021086,2010.16256,0.018117
2018.54059,0.018804,2018.40646,0.018978,2033.77327,0.019718
2043.03528,0.02019,2040.78882,0.020917,2041.20503,0.020531
2057.62977,0.020025,2057.25426,0.019341,2088.46256,0.019465
2082.22322,0.01932,2095.37935,0.020883,2116.69143,0.021739
2111.19889,0.018366,2103.83062,0.019017,2128.04163,0.01881
2118.90411,0.01891,2124.33405,0.020151,2139.23758,0.020632
2150.97954,0.018749,2138.71658,0.01888,2155.11809,0.019659
2169.67756,0.018947,2167.68837,0.019767,2178.06889,0.019173
2181.21244,0.019473,2181.13417,0.020169,2200.08083,0.018916
2196.39495,0.021623,2196.05775,0.018866,2233.03438,0.021343
2227.38182,0.019304,2220.13075,0.020012,2248.97068,0.020448
2243.95732,0.020959,2253.26469,0.018015,2257.44993,0.020407
2262.84786,0.019372,2276.67479,0.019769,2282.51758,0.020686
2291.9166,0.019666,2284.36836,0.019702,2299.19503,0.020128
2317.16771,0.020704,2313.84756,0.01958,,
,,,0.019582825,,0.020443947
