New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y
20.6835,0.019453,9.7479,0.017431,33.37937,0.018307
40.43091,0.01881,38.8772,0.01777,36.6592,0.019273
60.32246,0.019064,76.8324,0.019095,51.24253,0.019514
80.35815,0.019198,110.68649,0.018171,90.20336,0.019144
98.80829,0.018572,117.01061,0.01811,105.95916,0.018396
119.13227,0.020305,124.02611,0.019687,125.51584,0.019389
138.87967,0.018837,153.69851,0.018087,132.59667,0.019039
159.49193,0.019668,156.23486,0.018839,145.56012,0.018998
179.52763,0.019696,176.95578,0.017234,177.21777,0.018157
199.27503,0.019191,204.35152,0.018505,203.966,0.018437
218.73417,0.019333,227.19992,0.017801,227.02766,0.021547
239.34641,0.019805,238.16976,0.019189,257.22392,0.019399
259.6704,0.020844,248.68607,0.018565,258.71135,0.020557
279.85022,0.01894,274.08381,0.016427,262.24288,0.019022
299.30935,0.019113,280.35176,0.01793,302.81291,0.019355
319.2009,0.019256,314.16213,0.019358,326.93204,0.020708
339.09245,0.018832,345.07858,0.018938,328.24959,0.017936
358.69572,0.018554,358.21124,0.017096,363.01465,0.020902
378.87557,0.019728,391.18122,0.01843,363.26111,0.018707
399.05539,0.01933,393.99508,0.019126,393.20517,0.019613
419.09108,0.017985,415.77907,0.016445,403.32809,0.019725
438.55019,0.018631,421.17211,0.018628,414.6559,0.017239
458.00934,0.019379,462.22667,0.016272,470.71984,0.018883
479.19817,0.018028,464.84311,0.017281,473.26074,0.019228
498.36903,0.019247,506.73587,0.016887,483.51986,0.019488
518.11643,0.018304,533.69522,0.018519,508.733,0.019268
538.15212,0.019463,544.80684,0.017982,534.73427,0.019594
558.33192,0.017847,571.88169,0.018327,553.84977,0.019591
577.93522,0.020227,575.21195,0.018037,580.48791,0.01799
597.10603,0.0193,597.62356,0.017764,591.94736,0.01957
618.00661,0.019741,601.33054,0.018725,604.05819,0.020175
637.75401,0.019525,658.08199,0.016157,641.80925,0.019658
657.35726,0.019826,662.10332,0.016807,663.34411,0.021895
677.8254,0.018229,696.79677,0.016493,692.658,0.020182
697.8611,0.019289,703.17868,0.017054,694.22038,0.019079
717.6085,0.018094,718.56292,0.017445,717.08519,0.020382
737.6442,0.019708,736.63763,0.018194,749.1953,0.020124
757.67989,0.020406,741.7236,0.017567,753.97721,0.020296
777.85969,0.018858,771.29396,0.016974,757.8091,0.019131
797.46299,0.019413,791.85059,0.018249,819.3912,0.020864
817.21039,0.018804,820.37866,0.017573,843.43775,0.019027
836.52534,0.019789,832.06931,0.017792,869.37093,0.021207
856.70519,0.017866,861.57,0.017875,891.9743,0.019443
876.88503,0.018496,867.32857,0.01621,894.1848,0.019297
896.92068,0.01959,907.65129,0.017555,909.82006,0.020752
916.95642,0.019481,908.03519,0.019586,942.85989,0.019539
936.55968,0.018333,920.30855,0.015907,970.92793,0.020753
956.73952,0.017498,949.82298,0.017487,989.56634,0.02031
976.34277,0.017924,978.32098,0.017561,996.9199,0.019558
996.37852,0.018981,1003.973,0.016261,1019.94583,0.021984
1016.41417,0.018766,1021.00611,0.017279,1051.7943,0.019194
1036.59401,0.017843,1033.13521,0.018831,1061.8823,0.019841
1056.19726,0.018336,1057.47483,0.017561,1072.23527,0.019753
1075.65641,0.018685,1074.26146,0.01834,1094.45028,0.020212
1096.55695,0.019209,1103.0839,0.018033,1125.52766,0.02009
1116.1602,0.019234,1116.17841,0.016985,1150.22869,0.019272
1136.34005,0.019119,1134.8127,0.016985,1167.29337,0.020184
1156.08749,0.018562,1160.92002,0.017751,1181.13155,0.019195
1176.12314,0.017155,1165.45203,0.018795,1196.82191,0.019595
1215.90624,0.018295,1201.50858,0.017799,1217.45289,0.020775
1235.94198,0.018266,1238.75483,0.018469,1248.61534,0.020009
1255.97763,0.018529,1264.73748,0.018825,1260.6721,0.020325
1275.72508,0.019206,1279.49556,0.017991,1275.34061,0.021168
