New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,,
22.71183,0.020076,19.20874,0.019944,43.25397,0.020546,0.018444,0.019046
53.7624,0.019985,51.12503,0.020689,57.06082,0.020222,0.019189,0.018722
60.93678,0.021362,69.70985,0.019972,59.53063,0.021249,0.018472,0.019749
66.51142,0.021631,70.94328,0.020242,59.78896,0.022009,0.018742,0.020509
106.58437,0.021428,107.0146,0.02024,104.59644,0.021096,0.01874,0.019596
115.92547,0.019597,116.91613,0.021234,110.34334,0.021319,0.019734,0.019819
154.06428,0.021422,159.49384,0.020487,151.91973,0.021235,0.018987,0.019735
164.90458,0.021247,174.27711,0.019547,166.8772,0.021026,0.018047,0.019526
181.00392,0.02091,177.70092,0.019765,170.29514,0.020349,0.018265,0.018849
197.56482,0.021276,205.91975,0.020117,203.23465,0.021201,0.018617,0.019701
216.89823,0.020932,211.39562,0.021579,217.18275,0.020551,0.020079,0.019051
231.43009,0.020909,219.38959,0.019498,234.92369,0.020935,0.017998,0.019435
261.73252,0.020869,252.19666,0.021832,253.0705,0.020159,0.020332,0.018659
281.45976,0.021029,262.40607,0.019972,271.021,0.019584,0.018472,0.018084
301.77697,0.020852,299.67552,0.021679,289.43403,0.020412,0.020179,0.018912
323.65275,0.020441,324.62719,0.020467,322.96298,0.020233,0.018967,0.018733
335.24587,0.020072,337.47511,0.020461,328.4772,0.02097,0.018961,0.01947
354.94167,0.019395,343.91176,0.021228,368.27423,0.020257,0.019728,0.018757
367.86903,0.021405,383.2297,0.020605,381.56959,0.021048,0.019105,0.019548
413.61119,0.020447,413.90547,0.020083,406.18109,0.021304,0.018583,0.019804
415.81458,0.020548,418.25909,0.020869,440.94194,0.02068,0.019369,0.01918
442.55232,0.020091,443.20228,0.022498,452.89595,0.02153,0.020998,0.02003
463.06631,0.020352,473.65682,0.021527,459.41242,0.021113,0.020027,0.019613
476.03379,0.020271,484.16237,0.021795,478.37252,0.020631,0.020295,0.019131
500.26308,0.020243,489.25666,0.021344,512.07201,0.020222,0.019844,0.018722
528.48806,0.020035,537.36465,0.020903,527.67321,0.02098,0.019403,0.01948
537.99713,0.021397,538.55451,0.020176,536.30017,0.022111,0.018676,0.020611
557.59944,0.021167,567.37422,0.021765,561.07666,0.021758,0.020265,0.020258
571.15073,0.021199,568.71376,0.022018,583.63025,0.021198,0.020518,0.019698
617.98842,0.020602,624.14474,0.018699,603.40287,0.019887,0.017199,0.018387
627.80878,0.019678,626.20537,0.020847,636.19843,0.020468,0.019347,0.018968
654.2859,0.018913,661.86794,0.02109,644.8266,0.019796,0.01959,0.018296
654.4631,0.020921,666.84685,0.019187,651.79156,0.02033,0.017687,0.01883
692.60997,0.020524,687.57973,0.020755,675.97705,0.02118,0.019255,0.01968
698.7839,0.020656,698.33719,0.020709,678.86417,0.021175,0.019209,0.019675
720.92805,0.020695,726.78935,0.020884,726.0711,0.019965,0.019384,0.018465
725.58915,0.019657,744.30897,0.019121,728.34411,0.020387,0.017621,0.018887
