New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,,
14.50727,0.020634,14.21769,0.022207,17.71452,0.021451,0.020707,0.019951
39.97474,0.021396,30.11624,0.021505,26.71266,0.021925,0.020005,0.020425
56.6419,0.021531,48.12326,0.020608,54.38183,0.02267,0.019108,0.02117
82.9321,0.020705,81.51426,0.020546,83.60403,0.022233,0.019046,0.020733
110.57705,0.020865,109.12699,0.022109,102.87672,0.022225,0.020609,0.020725
124.66722,0.020952,131.1624,0.020659,129.78587,0.023146,0.019159,0.021646
142.05977,0.020647,140.39491,0.020958,139.13131,0.022709,0.019458,0.021209
161.07413,0.021724,154.68743,0.020577,159.21275,0.022273,0.019077,0.020773
183.39315,0.02097,189.63529,0.022349,184.53828,0.022492,0.020849,0.020992
205.03895,0.022252,204.44057,0.022881,206.17681,0.023739,0.021381,0.022239
241.89606,0.020706,215.78715,0.021133,218.71629,0.022319,0.019633,0.020819
254.18655,0.021136,246.21948,0.019706,241.52025,0.02165,0.018206,0.02015
260.68259,0.022454,265.48447,0.02238,263.47848,0.022504,0.02088,0.021004
282.82748,0.021727,279.15253,0.021443,290.65745,0.022164,0.019943,0.020664
296.11836,0.021816,300.52338,0.021633,300.73852,0.022127,0.020133,0.020627
321.21334,0.021252,316.63963,0.021581,325.91799,0.022328,0.020081,0.020828
363.59695,0.021048,348.26819,0.021118,342.86307,0.021401,0.019618,0.019901
374.70072,0.021198,362.00951,0.020993,352.97239,0.023775,0.019493,0.022275
379.35112,0.020702,384.00179,0.019952,394.20639,0.022271,0.018452,0.020771
401.6292,0.021193,399.30386,0.022422,396.0129,0.023433,0.020922,0.021933
426.23146,0.019788,417.59218,0.022103,421.36822,0.023676,0.020603,0.022176
439.64252,0.019228,426.90407,0.022406,441.74528,0.021972,0.020906,0.020472
456.91881,0.021031,452.48119,0.022596,468.09719,0.021612,0.021096,0.020112
488.01464,0.020661,494.92981,0.022878,473.02183,0.023647,0.021378,0.022147
490.9386,0.021901,498.56719,0.021262,510.87266,0.022049,0.019762,0.020549
508.69399,0.022232,517.8642,0.022301,522.82121,0.022926,0.020801,0.021426
541.60596,0.021509,538.99209,0.021415,539.62693,0.021763,0.019915,0.020263
557.90223,0.021619,548.68625,0.02257,562.90995,0.022177,0.02107,0.020677
563.96888,0.0214,576.14025,0.021897,592.74585,0.022119,0.020397,0.020619
607.375,0.021517,598.94459,0.021689,600.98575,0.023454,0.020189,0.021954
633.04488,0.021468,617.48561,0.022082,617.0992,0.021568,0.020582,0.020068
633.70436,0.022078,654.48126,0.021241,635.83205,0.022314,0.019741,0.020814
654.38576,0.022673,661.11423,0.02281,645.48744,0.021986,0.02131,0.020486
692.84864,0.021644,683.79365,0.022473,687.57219,0.022444,0.020973,0.020944
693.06072,0.021393,689.18391,0.021809,699.19357,0.021692,0.020309,0.020192
718.92358,0.020627,717.93501,0.021072,735.64412,0.022601,0.019572,0.021101
748.37451,0.022145,743.27751,0.022291,744.12377,0.022598,0.020791,0.021098
764.40013,0.021894,763.56178,0.019781,755.45004,0.022093,0.018281,0.020593
769.72093,0.020938,775.80883,0.022648,770.74527,0.021539,0.021148,0.020039
792.58986,0.021497,782.93,0.021054,788.11613,0.022963,0.019554,0.021463
817.1546,0.022086,809.33355,0.021738,813.85062,0.022923,0.020238,0.021423
850.70274,0.02222,837.58762,0.023549,847.347,0.02167,0.022049,0.02017
861.70381,0.022425,871.57656,0.022598,868.15921,0.022485,0.021098,0.020985
884.59078,0.021301,898.20927,0.021213,885.7196,0.020895,0.019713,0.019395
893.71257,0.021872,904.67542,0.021898,913.76332,0.02239,0.020398,0.02089
925.99273,0.021974,932.3478,0.022569,926.02289,0.022237,0.021069,0.020737
948.80812,0.021371,933.01988,0.022923,942.69748,0.022202,0.021423,0.020702
951.81607,0.022652,973.71349,0.023426,965.34842,0.022571,0.021926,0.021071
987.86118,0.022248,986.73193,0.022077,967.78102,0.02224,0.020577,0.02074
1009.03922,0.021762,1009.17179,0.022487,999.93438,0.021201,0.020987,0.019701
1030.32713,0.020685,1013.2336,0.022424,1015.18099,0.022739,0.020924,0.021239
1050.8738,0.022474,1050.11462,0.021731,1054.47024,0.022884,0.020231,0.021384
1060.64402,0.02219,1052.60677,0.02245,1084.60836,0.021998,0.02095,0.020498
1072.53448,0.02205,1064.02948,0.023049,1086.37762,0.022779,0.021549,0.021279
1106.55566,0.020848,1098.17837,0.022685,1108.07363,0.022697,0.021185,0.021197
1119.48885,0.021287,1132.47703,0.021883,1123.91377,0.023707,0.020383,0.022207
1138.44,0.021352,1148.39292,0.021271,1137.92938,0.022832,0.019771,0.021332
1149.22819,0.023374,1165.27727,0.022631,1157.11883,0.022952,0.021131,0.021452
1181.95596,0.020016,1173.67382,0.022576,1181.50959,0.023636,0.021076,0.022136
1196.39758,0.020453,1197.75322,0.022007,1197.44859,0.021295,0.020507,0.019795
1223.72841,0.021133,1222.68333,0.022967,1223.55357,0.021979,0.021467,0.020479
1250.45515,0.019517,1231.84783,0.022593,1243.16219,0.022743,0.021093,0.021243
1268.27451,0.020545,1278.12123,0.022364,1260.13955,0.021976,0.020864,0.020476
1273.58004,0.02126,1288.94367,0.022877,1284.30181,0.022681,0.021377,0.021181
1314.86423,0.021975,1308.34202,0.021917,1296.993,0.022231,0.020417,0.020731
1319.12961,0.022496,1316.08214,0.022824,1309.9413,0.022693,0.021324,0.021193
1351.2982,0.022288,1339.94665,0.021923,1353.2949,0.021831,0.020423,0.020331
1353.6863,0.022384,1355.99151,0.021475,1362.86595,0.022562,0.019975,0.021062
1387.33331,0.021788,1379.34726,0.022846,1397.8285,0.022167,0.021346,0.020667
1410.85337,0.020438,1404.2246,0.023394,1408.64388,0.021851,0.021894,0.020351
1419.24037,0.020881,1420.66138,0.022508,1409.43722,0.022066,0.021008,0.020566
1429.60368,0.022406,1444.63559,0.023251,1443.75074,0.02293,0.021751,0.02143
1471.90551,0.020272,1472.05184,0.023513,1461.74678,0.022245,0.022013,0.020745
1477.68343,0.020438,1477.89306,0.02083,1474.66785,0.02206,0.01933,0.02056
1507.91977,0.022226,1503.38632,0.022375,1505.98393,0.021425,0.020875,0.019925
1520.12189,0.021578,1523.77732,0.02329,1516.25053,0.021675,0.02179,0.020175
1552.47173,0.023007,1543.93606,0.023426,1538.62815,0.023176,0.021926,0.021676
1561.03558,0.021465,1555.26048,0.021969,1560.64642,0.022141,0.020469,0.020641
1585.1972,0.021213,1573.35191,0.022749,1588.9497,0.023141,0.021249,0.021641
1592.81887,0.021439,1594.28354,0.023479,1602.79748,0.023358,0.021979,0.021858
1623.56903,0.021117,1607.07977,0.022118,1609.05876,0.023578,0.020618,0.022078
1643.57085,0.021471,1656.25751,0.022057,1648.87519,0.022604,0.020557,0.021104
1658.04671,0.022032,1658.54896,0.02186,1667.61998,0.022532,0.02036,0.021032
1677.41743,0.022074,1683.52316,0.021721,1674.61593,0.023039,0.020221,0.021539
1701.57496,0.02268,1694.69563,0.023304,1691.37593,0.023783,0.021804,0.022283
1724.60306,0.021663,1711.70438,0.021541,1713.8975,0.023497,0.020041,0.021997
1742.29231,0.020597,1747.37495,0.020819,1755.33584,0.022163,0.019319,0.020663
1755.91354,0.021633,1768.01514,0.02137,1755.79193,0.022397,0.01987,0.020897
1773.88829,0.022334,1774.29224,0.022838,1787.61532,0.02146,0.021338,0.01996
1803.86775,0.021784,1808.53441,0.02163,1802.66814,0.022782,0.02013,0.021282
