New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y
23.16026,0.020536,23.58102,0.01931,16.2319,0.020543
55.81884,0.018684,73.68812,0.019504,53.32743,0.020179
56.31672,0.020771,77.74964,0.020333,68.31371,0.019303
90.2474,0.01995,78.30889,0.020582,79.49167,0.020568
94.65568,0.019676,94.55374,0.019007,88.83895,0.018209
122.66015,0.019683,131.72234,0.020764,128.76248,0.020056
139.43229,0.021453,143.33254,0.019992,141.46785,0.020303
144.50895,0.019583,147.56739,0.019989,156.90314,0.020092
187.02259,0.019913,175.16435,0.019556,180.71692,0.019239
192.51204,0.021131,210.62429,0.01764,197.14183,0.020518
225.36729,0.021247,219.55169,0.018593,233.28932,0.020346
230.79492,0.020677,236.64246,0.02009,237.20824,0.019669
265.50884,0.020244,242.03609,0.020011,255.80368,0.021017
281.9939,0.020958,266.62179,0.018571,280.75462,0.019544
295.29934,0.021141,291.63287,0.019435,295.26583,0.019236
346.91589,0.021952,325.61788,0.021308,336.7849,0.019446
353.89948,0.02018,360.08592,0.020524,345.52967,0.019485
358.67394,0.021972,362.20989,0.020114,346.7931,0.020926
373.19639,0.019635,363.33661,0.019412,371.47262,0.020292
405.74843,0.020464,395.82788,0.018829,375.97291,0.019606
408.67789,0.021243,398.65046,0.02062,394.58775,0.019732
410.77565,0.020493,413.93943,0.019011,412.3419,0.019802
468.52729,0.02046,466.46509,0.020059,476.21366,0.020934
482.34921,0.02039,483.85366,0.020437,494.69633,0.021431
510.3324,0.02062,501.37615,0.019991,501.92198,0.019916
530.34608,0.021242,532.961,0.020847,504.92938,0.021267
551.16866,0.019917,538.48344,0.020259,545.41219,0.020969
568.75452,0.020458,564.42004,0.022356,549.07389,0.022102
576.09755,0.02124,573.9445,0.020864,566.93114,0.020263
594.11803,0.018783,598.41543,0.019448,607.62735,0.020423
614.67323,0.021068,601.95763,0.022642,628.45762,0.020023
621.40714,0.02082,615.89375,0.020345,632.37792,0.019997
649.27767,0.020672,653.06249,0.021678,635.77731,0.021106
679.73585,0.020474,672.15504,0.020128,683.5476,0.020655
699.02045,0.019834,696.19352,0.020219,691.75693,0.020802
715.3722,0.021643,698.73208,0.021563,717.3961,0.021132
720.88034,0.018887,724.00348,0.020426,727.70619,0.02086
729.20432,0.020217,741.49418,0.019603,731.92329,0.020329
779.91367,0.020842,785.6344,0.018814,792.04522,0.021003
813.09312,0.018283,798.7602,0.019628,810.99276,0.019774
816.95675,0.01957,804.23608,0.020484,811.72887,0.019899
822.94806,0.021795,837.64716,0.020537,811.89104,0.020422
843.45079,0.019993,847.84347,0.019148,825.95224,0.020224
885.42979,0.018755,878.67869,0.020028,895.54827,0.02101
900.24458,0.020225,879.83187,0.020836,896.96735,0.020312
920.69613,0.019421,908.02836,0.019135,914.66548,0.020087
958.46711,0.020316,941.16241,0.021226,938.71774,0.021589
968.36111,0.021543,957.31407,0.021113,963.40738,0.020957
1003.67497,0.020503,1017.57932,0.0203,1012.52579,0.020781
1007.76572,0.020389,1024.59866,0.021597,1015.18616,0.021291
1020.16193,0.021961,1025.00116,0.020009,1015.60818,0.019693
1030.66501,0.021214,1033.83642,0.020062,1050.75146,0.020583
1079.14477,0.019925,1087.16869,0.022783,1072.76162,0.021422
1080.70254,0.020219,1104.24021,0.018209,1094.15699,0.019729
1096.51897,0.020521,1119.13886,0.020083,1104.44559,0.020268
1110.08097,0.019666,1124.42209,0.019401,1110.3002,0.020353
1147.3105,0.01873,1139.91482,0.021574,1153.18413,0.020536
1147.41815,0.020556,1168.22767,0.021581,1176.40704,0.021752
1179.49257,0.020612,1192.37132,0.019057,1181.78857,0.023212
1195.50371,0.019728,1209.80765,0.019446,1204.68563,0.020894
1226.49238,0.019509,1234.76785,0.021015,1230.97833,0.020989
1239.06117,0.019527,1245.30673,0.018765,1239.79761,0.020014
1261.88679,0.020827,1247.48612,0.022751,1265.95286,0.019016
1275.92972,0.019732,1289.21451,0.019613,1272.22438,0.019388
1297.85575,0.019785,1295.20907,0.020286,1274.7827,0.021459
1307.74643,0.020771,1309.33122,0.020878,1293.87104,0.020781
1341.29972,0.02159,1334.82054,0.018954,1355.73291,0.019955
1364.07383,0.020687,1356.15214,0.020107,1364.56992,0.020095
1377.23715,0.019462,1376.30369,0.018857,1365.28439,0.019964
1388.6745,0.020983,1394.78852,0.019624,1373.04244,0.020536
1405.29047,0.021185,1405.24946,0.019407,1411.31734,0.020067
1415.71056,0.02147,1405.99668,0.020067,1416.3001,0.0196
1451.43581,0.020669,1440.37872,0.020716,1449.5654,0.021238
1458.53656,0.020243,1443.12146,0.019765,1454.48719,0.021817
1497.66268,0.019669,1496.24567,0.019442,1489.08694,0.021961
1512.66528,0.018353,1504.86274,0.021848,1535.43078,0.021348
1546.25322,0.020436,1555.8202,0.01825,1550.9848,0.018214
1549.83703,0.019589,1557.48142,0.02043,1557.48319,0.02165
1583.34985,0.021027,1594.12891,0.020218,1573.64039,0.019785
1604.95398,0.021254,1596.3579,0.020724,1600.01632,0.019532
1606.25853,0.022138,1602.46894,0.019055,1600.33227,0.021421
1621.72428,0.021481,1624.47056,0.022576,1624.96679,0.02087
1674.1623,0.019779,1668.16928,0.019293,1669.02053,0.01996
1678.87356,0.021425,1677.38334,0.019387,1691.76412,0.02003
1688.24817,0.021828,1700.37276,0.020531,1707.29997,0.019813
1712.88107,0.022593,1705.57795,0.018772,1710.97548,0.019923
1737.934,0.021225,1729.01501,0.018699,1729.27181,0.019973
1740.11399,0.021125,1737.4068,0.019836,1737.62917,0.020544
1770.70022,0.020405,1762.24123,0.020308,1767.07235,0.021566
1772.79451,0.021091,1792.34581,0.019811,1768.41291,0.02047
1773.40805,0.020249,1798.40615,0.019358,1794.1737,0.019811
1848.24248,0.02104,1821.28304,0.021363,1848.60094,0.020842
1849.20393,0.021563,1859.84146,0.018955,1857.94378,0.021975
1863.29697,0.021262,1866.63037,0.01946,1881.20629,0.020494
1893.60732,0.020471,1908.4872,0.020583,1881.75559,0.021062
1916.91911,0.020774,1911.32375,0.020529,1915.48285,0.021934
1929.87386,0.021009,1923.20017,0.02077,1932.33115,0.020292
1944.43351,0.020197,1925.63962,0.020145,1946.17212,0.019527
1963.6458,0.021998,1935.31769,0.019271,1957.98766,0.019779
1972.23172,0.020661,1970.61119,0.020799,1977.75204,0.020599
2015.64188,0.020655,2015.72866,0.020472,2006.94415,0.020864
2041.25853,0.021908,2032.46249,0.022293,2041.44037,0.02085
2047.6531,0.020696,2048.14503,0.020299,2052.42584,0.020704
2092.94607,0.021936,2091.24327,0.019619,2104.8733,0.021031
2110.90763,0.020349,2099.34387,0.020712,2110.77033,0.020477
2112.51582,0.021431,2105.1744,0.018254,2114.18257,0.020777
2128.18529,0.020981,2106.29997,0.021062,2139.73596,0.020956
2154.80221,0.020578,2116.91144,0.020431,2152.85056,0.019632
2179.77952,0.021264,2182.85866,0.019655,2159.24844,0.020015
2183.16964,0.021768,2186.39861,0.020647,2159.77545,0.019227
2191.24775,0.02165,2191.11082,0.01957,2192.83437,0.020653
2225.15444,0.020837,2216.24914,0.020925,2228.34236,0.020185
2255.79499,0.02056,2259.79949,0.019736,2229.50698,0.020846
2260.84214,0.020672,2272.41554,0.020578,2279.74019,0.021859
2263.63622,0.020688,2286.13019,0.020264,2295.76185,0.020917
2317.1395,0.020482,2329.31219,0.020911,2307.11909,0.021642
2328.98555,0.021337,2330.41242,0.022924,2341.53982,0.021298
2344.4183,0.020546,2355.20253,0.020607,2351.50343,0.020397
2364.40864,0.020786,2362.37886,0.020688,2368.21992,0.020691
2385.88668,0.02015,2395.99058,0.01972,2390.9519,0.018676
2415.9449,0.020599,2429.62434,0.020172,2409.68755,0.020786
2418.32978,0.021874,2437.87879,0.018989,2432.20215,0.020925
2458.75149,0.020322,2460.46893,0.019481,2459.07784,0.020371
2489.13402,0.020446,2485.98329,0.019709,2480.65784,0.021841
2503.93875,0.02223,2488.56801,0.021428,2485.39918,0.019598
2506.47759,0.02075,2514.39056,0.018585,2512.98677,0.020435
2547.13398,0.020574,2529.34571,0.020337,2551.11761,0.020194
2548.64923,0.020205,2550.67936,0.021007,2558.46671,0.020664
2571.72229,0.019873,2565.21236,0.019838,2583.49979,0.020382
2576.31436,0.020577,2581.49861,0.019694,2590.94249,0.021515
2606.25404,0.020867,2618.35376,0.020081,2592.31413,0.018635
2638.60186,0.020552,2644.70244,0.020528,2626.89006,0.019809
2660.71752,0.021362,2660.59618,0.020101,2675.43048,0.022016
2669.12536,0.020453,2668.85355,0.018852,2684.16189,0.021165
2691.7673,0.020771,2683.89253,0.020181,2689.06322,0.019601
