BOL,,30K,,75K,
x1,y1,x2,y2,x3,y3
23.16026,0.02063666,23.58101734,0.02041379,16.23190291,0.02025056
55.81884,0.01729077,73.68811698,0.01778249,53.32743007,0.0188011
56.31672,0.01800374,77.74963925,0.01836783,68.31370554,0.01700046
90.2474,0.01687559,78.30889224,0.0172352,79.49166629,0.01737455
94.65568,0.0190619,94.55374411,0.01870742,88.83895294,0.01989516
122.66015,0.01691422,131.7223368,0.01560144,128.7624777,0.01712927
139.43229,0.0162808,143.3325401,0.01610436,141.4678465,0.01635737
144.50895,0.01682094,147.5673932,0.0180898,156.9031393,0.01607267
187.02259,0.01563031,175.1643478,0.01536231,180.7169169,0.01601057
192.51204,0.0182063,210.6242886,0.0177031,197.1418256,0.01776243
225.36729,0.01550269,219.5516874,0.0154765,233.2893171,0.015389
230.79492,0.0160219,236.6424646,0.0154428,237.208235,0.01561845
265.50884,0.01708881,242.036089,0.0170282,255.8036779,0.01677919
281.9939,0.01613909,266.6217888,0.01610843,280.7546249,0.01598666
295.29934,0.01665279,291.6328721,0.01695292,295.2658305,0.01721956
346.91589,0.01722612,325.6178827,0.01695105,336.7848986,0.01618968
353.89948,0.0167005,360.0859171,0.0160969,345.5296714,0.0173753
358.67394,0.01617673,362.2098896,0.01687521,346.7930978,0.01599771
373.19639,0.01686527,363.3366062,0.01555939,371.4726179,0.01796582
405.74843,0.01686225,395.827882,0.01705419,375.9729133,0.01721051
408.67789,0.01725948,398.6504553,0.01680935,394.5877486,0.01687836
410.77565,0.01830843,413.9394262,0.01701772,412.3418956,0.0171378
468.52729,0.01645116,466.4650884,0.0171287,476.2136607,0.01742091
482.34921,0.01705263,483.8536596,0.01610049,494.6963345,0.01683538
510.3324,0.01604629,501.3761492,0.01534854,501.9219816,0.01710375
530.34608,0.01687508,532.9610037,0.01661816,504.9293759,0.01550879
551.16866,0.01603766,538.4834397,0.0163256,545.412194,0.0166781
568.75452,0.01626314,564.4200445,0.01666798,549.0738912,0.01551387
576.09755,0.0159989,573.944497,0.01532229,566.931137,0.01680456
594.11803,0.01627085,598.4154321,0.01608536,607.6273525,0.0167099
614.67323,0.01710863,601.9576326,0.01680956,628.457622,0.01734268
621.40714,0.01644726,615.8937491,0.01637039,632.3779241,0.01697968
649.27767,0.016333,653.0624902,0.01610182,635.777309,0.01698784
679.73585,0.01727724,672.1550413,0.01699999,683.5476028,0.01716296
699.02045,0.0168326,696.1935209,0.01627261,691.7569328,0.01753045
715.3722,0.01644122,698.7320779,0.01654478,717.3961049,0.01653644
720.88034,0.01630306,724.0034829,0.01693472,727.7061873,0.01827885
729.20432,0.01772589,741.4941847,0.01810864,731.9232885,0.01676463
779.91367,0.01779066,785.6344036,0.01739061,792.045222,0.01839841
813.09312,0.01597931,798.7602019,0.0150043,810.9927646,0.01665743
816.95675,0.01636328,804.236075,0.01600696,811.7288715,0.01636469
822.94806,0.0164271,837.6471588,0.01648487,811.8910427,0.01609719
843.45079,0.01605071,847.8434659,0.01588817,825.9522411,0.0167534
885.42979,0.01636295,878.6786941,0.01635642,895.5482742,0.01599886
900.24458,0.01621613,879.8318703,0.0155999,896.9673491,0.01697668
920.69613,0.01598805,908.0283624,0.01573993,914.6654807,0.01545047
958.46711,0.01554947,941.1624124,0.01521165,938.7177392,0.01601312
968.36111,0.01687875,957.3140703,0.01677725,963.4073837,0.01672633
1003.67497,0.01620785,1017.579319,0.01709188,1012.525786,0.01573458
1007.76572,0.01647895,1024.598658,0.01590005,1015.186161,0.01675141
1020.16193,0.0175513,1025.001165,0.01622887,1015.608181,0.01716198
1030.66501,0.01656823,1033.836415,0.01599973,1050.751458,0.01702946
1079.14477,0.0169097,1087.168693,0.01689442,1072.761619,0.01714534
1080.70254,0.01632126,1104.240214,0.01600907,1094.156994,0.01633707
1096.51897,0.01618873,1119.138864,0.01705942,1104.44559,0.01548899
1110.08097,0.0156302,1124.422087,0.01551147,1110.300196,0.01639728
1147.3105,0.01633975,1139.914824,0.01678951,1153.184125,0.01642528
1147.41815,0.01653688,1168.227672,0.01465173,1176.407044,0.01751774
1179.49257,0.01683492,1192.371317,0.01764864,1181.788573,0.01605333
1195.50371,0.01651246,1209.807646,0.01695722,1204.685634,0.0168462
1226.49238,0.01593617,1234.767848,0.0157138,1230.978326,0.01655726
1239.06117,0.01604732,1245.306731,0.01616459,1239.797605,0.01683965
1261.88679,0.01591758,1247.48612,0.01591011,1265.952855,0.01650394
1275.92972,0.01691033,1289.214511,0.01698605,1272.224378,0.01574841
1297.85575,0.0169415,1295.20907,0.01597202,1274.782695,0.01713505
1307.74643,0.01605186,1309.331219,0.01677124,1293.871039,0.01736025
1341.29972,0.01675911,1334.82054,0.01721754,1355.732912,0.01519028
1364.07383,0.01589929,1356.15214,0.01575284,1364.569919,0.01691859
1377.23715,0.0169669,1376.303688,0.01641319,1365.284387,0.0159603
1388.6745,0.0158588,1394.788525,0.01678243,1373.042444,0.01574222
1405.29047,0.016804,1405.249457,0.01557296,1411.317337,0.01709401
1415.71056,0.01689348,1405.996679,0.01649537,1416.300102,0.01747668
1451.43581,0.01557877,1440.378715,0.01616634,1449.5654,0.01658108
1458.53656,0.01653637,1443.121456,0.01567086,1454.487187,0.01681589
1497.66268,0.01520865,1496.245666,0.01525261,1489.086936,0.01545574
1512.66528,0.0165784,1504.862741,0.01645525,1535.430776,0.01712731
1546.25322,0.01639506,1555.820201,0.01690519,1550.984802,0.01605194
1549.83703,0.01681914,1557.481415,0.01746458,1557.48319,0.01709119
1583.34985,0.01652175,1594.128906,0.01736328,1573.640395,0.01651449
1604.95398,0.01780857,1596.357904,0.01645063,1600.016321,0.01814007
1606.25853,0.01713044,1602.46894,0.01567097,1600.332265,0.01707801
1621.72428,0.01569709,1624.470563,0.01700206,1624.966791,0.01592922
1674.1623,0.01574425,1668.169284,0.01739726,1669.020526,0.01515093
1678.87356,0.01791871,1677.383344,0.015291,1691.764117,0.01729974
1688.24817,0.0161293,1700.372764,0.01638265,1707.299972,0.01621636
1712.88107,0.01650173,1705.577953,0.01629067,1710.975478,0.01627885
1737.934,0.0162935,1729.015012,0.01641204,1729.271807,0.01623213
1740.11399,0.01594341,1737.406799,0.01551805,1737.629166,0.01609326
1770.70022,0.0162498,1762.241226,0.01663944,1767.072352,0.01620025
1772.79451,0.01612017,1792.345807,0.01615949,1768.412912,0.01614746
1773.40805,0.0160883,1798.406151,0.01637714,1794.173699,0.01630782
1848.24248,0.01664081,1821.283039,0.01666194,1848.600941,0.01629673
1849.20393,0.01615519,1859.84146,0.0171508,1857.943778,0.01686563
1863.29697,0.01757233,1866.630373,0.017334,1881.206293,0.0171321
1893.60732,0.01611386,1908.487197,0.0175306,1881.755594,0.01759412
1916.91911,0.01719719,1911.323749,0.01772759,1915.482849,0.01761904
1929.87386,0.01733262,1923.200169,0.01733186,1932.331154,0.01728097
1944.43351,0.0170891,1925.639617,0.017306,1946.172123,0.01686853
1963.6458,0.01550906,1935.31769,0.01607216,1957.98766,0.01554259
1972.23172,0.01662635,1970.611185,0.01547457,1977.752037,0.0169693
2015.64188,0.01704658,2015.72866,0.01773295,2006.944154,0.01684007
2041.25853,0.01726291,2032.462489,0.01759344,2041.440371,0.01783344
2047.6531,0.01721132,2048.145027,0.01697031,2052.425842,0.01695484
2092.94607,0.0165541,2091.24327,0.0160538,2104.873302,0.01718856
2110.90763,0.01674611,2099.343868,0.01577321,2110.770327,0.0169195
2112.51582,0.01727781,2105.1744,0.01753319,2114.182573,0.01771732
2128.18529,0.01749758,2106.299971,0.01685158,2139.73596,0.01598233
2154.80221,0.01737214,2116.911438,0.01792442,2152.850559,0.01707369
2179.77952,0.0168435,2182.858664,0.01644981,2159.248438,0.01698825
2183.16964,0.01748182,2186.398613,0.0157536,2159.775449,0.016121
2191.24775,0.01728751,2191.110823,0.01514701,2192.834365,0.01701687
2225.15444,0.01897571,2216.249144,0.01819323,2228.342363,0.01794491
2255.79499,0.01757285,2259.799493,0.01631744,2229.50698,0.01691848
2260.84214,0.01746528,2272.415542,0.01664572,2279.740192,0.01719302
2263.63622,0.01776814,2286.130185,0.01651234,2295.761853,0.01710108
2317.1395,0.01757573,2329.312186,0.01689441,2307.119086,0.01719774
2328.98555,0.01773127,2330.412422,0.01690811,2341.539818,0.01584489
2344.4183,0.0182656,2355.202532,0.01697214,2351.503432,0.01834723
2364.40864,0.01820733,2362.378863,0.01665521,2368.219922,0.01688233
2385.88668,0.01845193,2395.990578,0.01691596,2390.951897,0.01741733
2415.9449,0.01836995,2429.624343,0.01763147,2409.687547,0.01681461
2418.32978,0.01836665,2437.878792,0.01738012,2432.202148,0.01683653
2458.75149,0.01791598,2460.468927,0.01667131,2459.077845,0.01704017
2489.13402,0.01815255,2485.98329,0.01620399,2480.657839,0.01738191
2503.93875,0.01903166,2488.568014,0.01739453,2485.399183,0.01679061
2506.47759,0.01851698,2514.390562,0.0170326,2512.986768,0.01674124
2547.13398,0.01914347,2529.345712,0.01770429,2551.117608,0.01691357
2548.64923,0.01833154,2550.679355,0.01771047,2558.466713,0.01742138
2571.72229,0.01902748,2565.212364,0.01664295,2583.499785,0.01681485
2576.31436,0.0185608,2581.498605,0.01673477,2590.942489,0.01634174
2606.25404,0.01836823,2618.353764,0.01612564,2592.314129,0.0170458
2638.60186,0.01988364,2644.702439,0.01795694,2626.890059,0.01814755
2660.71752,0.01822394,2660.596177,0.01755998,2675.430483,0.01603739
2669.12536,0.01986658,2668.853547,0.01592984,2684.16189,0.0166103
2691.7673,0.01898661,2683.89253,0.01624179,2689.06322,0.01736269
2701.26548,0.01957321,2713.987856,0.01702518,2703.205241,0.0176245
2743.19624,0.0203947,2750.724634,0.017544,2742.230399,0.01728488
2754.91579,0.02043325,2750.728297,0.01660414,2743.042109,0.01704373
2778.05998,0.02092158,2766.171274,0.01638686,2780.498073,0.01748801
2810.67197,0.02074786,2818.640728,0.01841143,2804.856768,0.01724781
,0.017111248,,0.016639882,,0.01683404
